'Sylas', 'Zac', 'Lissandra', 'Veigar', 'Jhin', 'Shyvana', 'Leona', 'Aurelion Sol', "Kog'Maw", 'Akali'
'Karma', 'Taliyah', 'Yasuo', 'Ezreal', 'Yuumi', 'Garen', 'Ekko', 'Nocturne', 'Ashe', 'Braum'
'Kayle', 'Nidalee', 'Qiyana', 'Xayah', 'Rakan', 'Jax', 'Xin Zhao', 'Twisted Fate', "Kai'Sa", 'Nautilus'
'Akali', 'Jarvan IV', 'Sylas', "Kai'Sa", 'Alistar', 'Kennen', 'Olaf', 'Galio', 'Ezreal', 'Pyke'
'Heimerdinger', "Kha'Zix", 'Ryze', 'Xayah', 'Rakan', 'Irelia', 'Nidalee', 'Cassiopeia', "Kai'Sa", 'Gragas'
'Tristana', 'Lee Sin', 'Galio', 'Jinx', 'Karma', 'Irelia', 'Nidalee', 'LeBlanc', 'Ashe', 'Morgana'
'Lucian', 'Kindred', 'Galio', 'Tristana', 'Thresh', 'Kayle', "Kha'Zix", 'Camille', 'Jinx', 'Blitzcrank'
'Fiora', 'Ekko', 'Akali', 'Miss Fortune', 'Thresh', 'Kennen', 'Nidalee', 'Twisted Fate', "Kai'Sa", 'Janna'
'Aatrox', 'Kindred', 'Zoe', "Kai'Sa", 'LeBlanc', 'Darius', 'Nidalee', 'Garen', 'Vayne', 'Thresh'
'Jarvan IV', 'Ekko', 'LeBlanc', 'Miss Fortune', 'Rakan', 'Pantheon', 'Lee Sin', 'Vladimir', 'Vayne', 'Thresh'
"Cho'Gath", 'Nidalee', 'Jarvan IV', 'Miss Fortune', 'Azir', 'Vladimir', 'Ekko', 'Talon', 'Caitlyn', 'Nautilus'
'Kassadin', "Rek'Sai", 'Garen', 'Ezreal', 'Yuumi', 'Pyke', 'Lee Sin', 'Ryze', 'Vayne', 'Zilean'
'Jax', 'Olaf', 'Annie', 'Ezreal', 'Pyke', 'Renekton', 'Lee Sin', 'Lissandra', "Kai'Sa", 'Blitzcrank'
'Kled', 'Gragas', 'Ryze', 'Vayne', 'Nautilus', 'Vladimir', 'Kindred', 'Kassadin', "Kai'Sa", 'Leona'
'Lulu', 'Lee Sin', 'Galio', 'Lucian', 'Soraka', 'Irelia', 'Gragas', 'Olaf', 'Vayne', 'Morgana'
'Kennen', 'Olaf', 'Cassiopeia', 'Lucian', 'Thresh', 'Aatrox', 'Sejuani', 'Fizz', 'Vayne', 'Braum'
'Ornn', 'Xin Zhao', 'LeBlanc', 'Lucian', 'Janna', 'Camille', "Rek'Sai", 'Ekko', 'Vayne', 'Nautilus'
'Renekton', 'Gragas', 'Yasuo', 'Caitlyn', 'Morgana', 'Vladimir', 'Taliyah', 'Talon', 'Jinx', 'Thresh'
'Garen', 'Lee Sin', 'Ryze', 'Kalista', 'Thresh', 'Irelia', 'Jarvan IV', 'Katarina', 'Ashe', 'Morgana'
'Kayle', 'Shaco', 'Galio', 'Lucian', 'Leona', 'Gangplank', 'Gragas', 'Irelia', 'Miss Fortune', 'Rakan'
'Kennen', 'Lee Sin', 'Zoe', "Kai'Sa", 'Pantheon', 'Renekton', 'Taliyah', 'Ornn', 'Ezreal', 'Janna'
'Irelia', "Rek'Sai", 'Twisted Fate', 'Xayah', 'Pyke', 'Karma', 'Lee Sin', 'LeBlanc', 'Ezreal', 'Zyra'
'Jayce', 'Ivern', 'Twisted Fate', 'Neeko', 'Gragas', 'Nidalee', 'Blitzcrank', 'Katarina', "Kai'Sa", 'Malphite'
'Rengar', 'Elise', 'Pantheon', "Kai'Sa", 'Bard', 'Garen', 'Lee Sin', 'Zoe', 'Xayah', 'Nautilus'
'Renekton', 'Elise', 'Orianna', 'Lucian', 'Janna', 'Camille', 'Lee Sin', 'LeBlanc', 'Ezreal', 'Bard'
'Garen', 'Lee Sin', 'Yasuo', 'Caitlyn', 'Blitzcrank', 'Fiora', 'Ekko', 'Vladimir', 'Vayne', 'Pyke'
'Vladimir', 'Lee Sin', 'Zoe', 'Xayah', 'Morgana', 'Kayle', "Rek'Sai", 'Ekko', 'Lucian', 'Thresh'
'Darius', 'Jarvan IV', 'Talon', 'Jinx', 'Nautilus', 'Mordekaiser', 'Lee Sin', 'Galio', 'Vayne', 'Leona'
'Jax', 'Lee Sin', 'Zoe', 'Ezreal', 'Gragas', 'Pantheon', "Rek'Sai", 'Viktor', 'Draven', 'Thresh'
'Shen', 'Pantheon', 'Yasuo', 'Miss Fortune', 'Alistar', 'Garen', 'Lee Sin', 'Karthus', 'Caitlyn', 'Blitzcrank'
'Rengar', 'Taliyah', 'Talon', 'Ezreal', 'Karma', 'Sylas', 'Lee Sin', 'LeBlanc', 'Caitlyn', 'Morgana'
'Aatrox', 'Xin Zhao', 'Lissandra', 'Ezreal', 'Poppy', 'Kennen', "Rek'Sai", 'Fizz', 'Jinx', 'Thresh'
'Kled', 'Elise', 'Ryze', 'Ezreal', 'Thresh', 'Vladimir', 'Taliyah', 'Jax', 'Caitlyn', 'Lux'
'Vladimir', 'Sylas', 'Nocturne', 'Draven', 'Pyke', 'Camille', 'Ekko', 'Swain', 'Tristana', 'Blitzcrank'
'Rengar', 'Taliyah', 'Nocturne', 'Ezreal', 'Blitzcrank', 'Pantheon', 'Elise', 'Aurelion Sol', 'Jinx', 'Bard'
'Pantheon', "Rek'Sai", 'Ekko', "Kai'Sa", 'Blitzcrank', 'Jax', 'Lee Sin', 'Galio', 'Lucian', 'Thresh'
'Jax', 'Taliyah', 'Pantheon', 'Ashe', 'Bard', 'Darius', 'Kayn', 'Zoe', 'Miss Fortune', 'Janna'
'Quinn', 'Sylas', 'Jayce', 'Miss Fortune', 'Thresh', 'Darius', 'Olaf', 'Kayle', "Kai'Sa", 'Gragas'
'Fiora', 'Evelynn', 'Nocturne', 'Ezreal', 'Morgana', 'Tristana', 'Lee Sin', 'Darius', 'Xayah', 'Soraka'
'Garen', "Rek'Sai", 'Ekko', "Kai'Sa", 'Alistar', 'Fiora', "Kha'Zix", 'Zoe', 'Xayah', 'Thresh'
'Kayle', "Rek'Sai", 'Ezreal', "Kai'Sa", 'Nautilus', 'Garen', 'Dr. Mundo', 'Orianna', 'Vayne', 'Lux'
'Jayce', 'Dr. Mundo', 'Annie', 'Lucian', 'Braum', 'Tryndamere', 'Karthus', 'Kled', 'Miss Fortune', 'Leona'
'Kled', 'Ekko', 'Vladimir', 'Draven', 'Thresh', 'Camille', 'Lee Sin', 'Anivia', 'Jinx', 'Morgana'
'Syndra', 'Gragas', 'Kled', "Kai'Sa", 'Thresh', 'Mordekaiser', 'Elise', 'Pantheon', 'Lucian', 'Pyke'
'Irelia', 'Aatrox', 'Viktor', 'Xayah', 'Tahm Kench', 'Kled', 'Nidalee', 'LeBlanc', 'Lucian', 'Thresh'
'Tristana', 'Gragas', 'Swain', 'Jax', 'Pyke', 'Twisted Fate', 'Rammus', 'Kled', 'Ezreal', 'Morgana'
'Poppy', 'Taliyah', 'Zoe', 'Kalista', 'Blitzcrank', 'Karma', 'Olaf', 'Syndra', "Kai'Sa", 'Leona'
'Garen', 'Jarvan IV', 'Syndra', 'Ezreal', 'Neeko', 'Mordekaiser', 'Lee Sin', 'Yasuo', "Kai'Sa", 'Nautilus'
'Garen', 'Ekko', 'Zoe', 'Xayah', 'Braum', 'Viktor', 'Kindred', 'Galio', 'Vayne', 'Nautilus'
'Ryze', 'Lee Sin', 'Lissandra', 'Lucian', 'Blitzcrank', 'Camille', 'Taliyah', 'LeBlanc', 'Ashe', 'Thresh'
'Jayce', 'Xin Zhao', 'Katarina', "Kai'Sa", 'Thresh', 'Camille', 'Kindred', 'Zoe', 'Heimerdinger', 'Karma'
'Fiora', 'Kindred', 'Azir', 'Xayah', 'Thresh', 'Gangplank', 'Nidalee', 'Qiyana', "Kai'Sa", 'Shen'
'Rumble', 'Nidalee', 'Talon', "Kai'Sa", 'Pyke', 'Ryze', 'Jarvan IV', 'Nocturne', 'Caitlyn', 'Thresh'
'Jax', 'Ekko', 'Ornn', 'Jinx', 'Thresh', 'Vladimir', 'Lee Sin', 'Zoe', 'Miss Fortune', 'Nautilus'
'Shen', 'Elise', 'Talon', "Kai'Sa", 'Leona', 'Akali', 'Ekko', 'Renekton', 'Xayah', 'Rakan'
'Shen', 'Ivern', 'Talon', 'Ashe', 'Janna', 'Gangplank', 'Taliyah', 'Ryze', 'Caitlyn', 'Morgana'
'Kayle', 'Kindred', 'Cassiopeia', 'Ezreal', 'Janna', 'Jayce', "Rek'Sai", 'Talon', "Kai'Sa", 'Lux'
'Heimerdinger', 'Lee Sin', 'Lissandra', 'Lucian', 'Nautilus', 'Cassiopeia', 'Nidalee', 'Quinn', "Kai'Sa", 'Pyke'
'Fiora', 'Poppy', 'Ekko', 'Jinx', 'Thresh', 'Gangplank', 'Xin Zhao', 'Zed', 'Ezreal', 'Yuumi'
'Camille', "Rek'Sai", 'Ekko', 'Caitlyn', 'Pyke', 'Ryze', "Kha'Zix", 'Cassiopeia', 'Ezreal', 'Bard'
'Vladimir', 'Lee Sin', 'LeBlanc', 'Lucian', 'Blitzcrank', 'Fiora', 'Ekko', 'Pyke', 'Xayah', 'Karma'
'Vladimir', 'Rengar', 'LeBlanc', 'Xayah', 'Fiddlesticks', 'Shen', 'Taliyah', 'Katarina', 'Miss Fortune', 'Thresh'
'Kled', 'Ekko', 'Talon', 'Xayah', 'Pyke', 'Gangplank', "Rek'Sai", 'Taliyah', 'Draven', 'Thresh'
'Riven', 'Olaf', 'Irelia', "Kai'Sa", 'Morgana', 'Camille', 'Nidalee', 'Talon', 'Xayah', 'Nautilus'
'LeBlanc', 'Lee Sin', 'Vladimir', 'Ashe', 'Tahm Kench', 'Fiora', 'Kayn', 'Galio', "Kai'Sa", 'Leona'
'Viktor', 'Qiyana', 'Jayce', 'Caitlyn', 'Janna', 'Galio', 'Lee Sin', 'Fiora', "Kai'Sa", 'Rakan'
'Aatrox', 'Shyvana', 'Talon', "Kai'Sa", 'Volibear', 'Pantheon', 'Taliyah', 'Camille', 'Lucian', 'Rakan'
'Quinn', 'Lee Sin', 'Twisted Fate', "Kai'Sa", 'Nautilus', 'Darius', 'Kayn', 'Vladimir', 'Ezreal', 'Braum'
'Illaoi', 'Gragas', 'Twisted Fate', 'Xayah', 'Rakan', 'Darius', 'Ekko', 'Orianna', 'Ezreal', 'Soraka'
'Kayle', 'Ekko', 'Talon', 'Varus', 'Brand', 'Camille', 'Lee Sin', 'Heimerdinger', 'Jinx', 'Tahm Kench'
'Olaf', "Rek'Sai", 'Pantheon', 'Ezreal', 'Veigar', 'Wukong', 'Evelynn', 'Nocturne', 'Lucian', 'Gragas'
'Teemo', 'Zac', 'Sylas', 'Tristana', 'Rakan', 'Camille', 'Shyvana', 'Galio', 'Xayah', 'Thresh'
'Nidalee', 'Taliyah', 'Azir', 'Jhin', 'Bard', 'Renekton', 'Lee Sin', 'Nocturne', 'Ezreal', 'Thresh'
'Renekton', 'Olaf', 'Aatrox', "Kai'Sa", 'Morgana', 'Pantheon', 'Ekko', 'Jayce', 'Xayah', 'Thresh'
'Sylas', 'Lee Sin', 'Aatrox', "Kai'Sa", 'Janna', 'Singed', 'Nidalee', 'Jayce', 'Ezreal', 'Pyke'
'Garen', 'Kayn', 'Annie', 'Lucian', 'Blitzcrank', 'Kayle', 'Taliyah', 'Qiyana', 'Ashe', 'Zyra'
'Aatrox', 'Elise', 'Cassiopeia', 'Zoe', 'Thresh', 'Gangplank', 'Taliyah', 'Azir', "Kai'Sa", 'Pyke'
'Irelia', 'Ekko', 'Kennen', 'Ezreal', 'Blitzcrank', 'Jax', 'Rengar', 'Ahri', "Kai'Sa", 'Nautilus'
'Talon', 'Olaf', 'Ekko', 'Sivir', 'Janna', 'Darius', 'Gragas', 'Anivia', "Kai'Sa", 'Blitzcrank'
'Aatrox', 'Taliyah', 'Jayce', 'Ashe', 'Nautilus', 'Vladimir', 'Kindred', 'Lucian', 'Jinx', 'Thresh'
'Tristana', 'Evelynn', 'Katarina', 'Ashe', 'Thresh', 'Riven', 'Taliyah', 'Ryze', 'Miss Fortune', 'Sona'
'Kennen', "Kha'Zix", 'Galio', 'Jinx', 'Nautilus', 'Vladimir', "Rek'Sai", 'Pantheon', 'Xayah', 'Leona'
'Garen', 'Singed', 'Karma', 'Vayne', 'Pyke', 'Jax', 'Ekko', 'Talon', 'Ezreal', 'Morgana'
'Vladimir', 'Karthus', 'Irelia', 'Lucian', 'Fiddlesticks', 'Gangplank', 'Nidalee', 'Katarina', 'Ezreal', 'Zilean'
'Vladimir', 'Elise', 'Viktor', 'Jinx', 'Thresh', 'Garen', 'Lee Sin', 'Kassadin', 'Heimerdinger', 'Pyke'
'Fiora', 'Jarvan IV', 'Yasuo', 'Ashe', 'Karma', 'Irelia', 'Lee Sin', 'Zoe', "Kai'Sa", 'Leona'
'Jayce', 'Ivern', 'Syndra', "Kai'Sa", 'Thresh', 'Ezreal', 'Garen', 'Katarina', 'Camille', 'Blitzcrank'
'Renekton', 'Ivern', 'Jax', "Kai'Sa", 'Thresh', 'Yasuo', 'Gragas', 'Aatrox', 'Caitlyn', 'Karma'
'Pantheon', 'Ekko', 'Katarina', 'Jinx', 'Thresh', 'Teemo', 'Gragas', 'Darius', 'Ezreal', 'Karma'
'Riven', 'Zac', 'Sylas', "Kai'Sa", 'Pyke', 'Teemo', 'Ekko', 'Camille', 'Vayne', 'Yuumi'
'Jarvan IV', 'Nidalee', 'Katarina', "Kai'Sa", 'Leona', 'Aatrox', 'Elise', 'Kled', 'Ashe', 'Bard'
'Renekton', 'Poppy', 'LeBlanc', 'Ezreal', 'Thresh', 'Pantheon', 'Lee Sin', 'Kennen', "Kai'Sa", 'Karma'
'Twisted Fate', 'Olaf', 'Heimerdinger', 'Irelia', 'Leona', 'Kennen', 'Graves', 'Zed', 'Jinx', 'Rakan'
'Kayle', 'Twitch', 'Ryze', 'Xayah', 'Nautilus', 'Pantheon', "Kha'Zix", 'Vladimir', 'Jinx', 'Thresh'
'Ryze', 'Olaf', 'LeBlanc', 'Jinx', 'Thresh', 'Hecarim', 'Lee Sin', 'Kassadin', 'Lucian', 'Bard'
'Ryze', 'Nidalee', 'Pantheon', 'Ezreal', 'Nautilus', 'Pyke', "Kha'Zix", 'Rumble', 'Lucian', 'Karma'
'Vladimir', 'Ekko', 'Talon', 'Sivir', 'Blitzcrank', 'Wukong', 'Lee Sin', 'Kassadin', 'Xayah', 'Thresh'
'Olaf', 'Kindred', 'LeBlanc', "Kai'Sa", 'Blitzcrank', 'Akali', 'Jarvan IV', 'Lissandra', 'Miss Fortune', 'Nautilus'
'Darius', 'Lee Sin', 'Kassadin', "Kai'Sa", 'Thresh', 'Jax', 'Ekko', 'LeBlanc', 'Ezreal', 'Pyke'
'Camille', 'Rengar', 'Galio', 'Jinx', 'Thresh', 'Draven', 'Aatrox', 'Katarina', 'Xayah', 'Rakan'
'Draven', 'Lee Sin', 'Ekko', 'Lucian', 'Thresh', 'Fiora', "Rek'Sai", 'Irelia', "Kai'Sa", 'Nautilus'
'Aatrox', 'Lee Sin', 'Syndra', 'Jinx', 'Thresh', 'Soraka', 'Nunu & Willump', 'Katarina', 'Yasuo', 'Shen'
'Vladimir', 'Elise', 'Galio', "Kai'Sa", 'Rakan', 'Soraka', 'Lee Sin', 'Taliyah', 'Draven', 'Nautilus'
'Malzahar', 'Ekko', 'LeBlanc', 'Xayah', 'Nautilus', 'Irelia', 'Zac', 'Vladimir', 'Ezreal', 'Alistar'
'Draven', 'Sejuani', 'Taliyah', "Kai'Sa", 'Thresh', 'Shen', 'Lee Sin', 'Vladimir', 'Miss Fortune', 'Leona'
'Draven', 'Nidalee', 'Sylas', 'Lucian', 'Pyke', 'Vladimir', 'Lee Sin', 'LeBlanc', 'Ezreal', 'Yuumi'
'Pantheon', 'Karthus', 'Draven', 'Caitlyn', 'Alistar', 'Akali', "Rek'Sai", 'Zed', "Kai'Sa", 'Blitzcrank'
'Akali', 'Olaf', 'Karthus', 'Lucian', 'Blitzcrank', 'Draven', 'Evelynn', 'LeBlanc', "Kai'Sa", 'Pyke'
'Neeko', 'Hecarim', 'Pantheon', 'Miss Fortune', 'Yuumi', 'Vayne', 'Lee Sin', 'Yasuo', 'Tristana', 'Blitzcrank'
'Camille', 'Ekko', 'Akali', "Kai'Sa", 'Nautilus', 'Kennen', 'Olaf', 'Pyke', 'Xayah', 'Blitzcrank'
'Kayle', 'Olaf', 'Vladimir', 'Vayne', 'Bard', 'Jarvan IV', 'Nunu & Willump', 'Ryze', 'Ashe', 'Blitzcrank'
'Jayce', 'Lee Sin', 'Zoe', 'Xayah', 'Blitzcrank', 'Irelia', 'Taliyah', 'Aatrox', 'Vayne', 'Leona'
'Jhin', 'Yasuo', 'Katarina', 'Garen', 'Azir', "Kai'Sa", 'Zilean', 'Taliyah', 'Amumu', 'Maokai'
'Vladimir', 'Riven', 'Kayn', 'Tristana', 'Bard', 'Ezreal', 'Pantheon', 'Vayne', 'Twitch', 'Leona'
'Pantheon', 'Warwick', 'Anivia', 'Ezreal', 'Swain', 'Lucian', 'Olaf', 'Teemo', 'Ezreal', 'Thresh'
'Ezreal', 'Malphite', 'Yuumi', 'Cassiopeia', "Kha'Zix", 'Jinx', 'Varus', 'Fiddlesticks', 'Zilean', 'Lulu'
'Jarvan IV', 'Tristana', 'Vladimir', 'Pyke', 'Quinn', 'Jinx', 'Vayne', 'Riven', 'Lissandra', 'Ashe'
'Ryze', 'Teemo', 'Veigar', 'Fizz', 'Lulu', 'Bard', 'Soraka', "Kha'Zix", 'Blitzcrank', 'Aurelion Sol'
'Gangplank', 'Gragas', 'Ahri', 'Draven', 'Thresh', 'Kennen', "Kha'Zix", 'LeBlanc', 'Ezreal', 'Blitzcrank'
'Pantheon', 'Evelynn', 'LeBlanc', 'Jinx', 'Blitzcrank', 'Riven', 'Shyvana', 'Nocturne', "Kai'Sa", 'Pyke'
'Shen', 'Lee Sin', 'Aurelion Sol', 'Ashe', 'Blitzcrank', 'Akali', 'Rengar', 'Zoe', 'Sivir', 'Pyke'
'Fiora', 'Nidalee', 'Aatrox', 'Lucian', 'Blitzcrank', 'Tryndamere', 'Evelynn', 'Pantheon', 'Kayle', 'Rakan'
'Master Yi', 'Taliyah', 'Zoe', "Kai'Sa", 'Yuumi', 'Vladimir', 'Xin Zhao', 'Ryze', 'Ashe', 'Blitzcrank'
'Twisted Fate', 'Lee Sin', 'Fiora', 'Ezreal', 'Nami', 'Kennen', 'Nidalee', 'Pantheon', "Kai'Sa", 'Blitzcrank'
'Gangplank', 'Nidalee', 'Viktor', 'Sivir', 'Fiddlesticks', 'Jax', "Rek'Sai", 'Heimerdinger', 'Ezreal', 'Lux'
'Pantheon', 'Shaco', 'Mordekaiser', 'Caitlyn', 'Lux', 'Jax', 'Lee Sin', 'Akali', 'Jinx', 'Thresh'
'Akali', 'Zac', 'Ryze', "Kai'Sa", 'Nautilus', 'Jax', 'Karthus', 'Vladimir', 'Draven', 'Blitzcrank'
'Jax', "Kha'Zix", 'Kayle', "Kai'Sa", 'Swain', 'Riven', 'Elise', 'Zoe', 'Ezreal', 'Tahm Kench'
'Pantheon', 'Taliyah', 'Jax', 'Jinx', 'Thresh', 'Kled', 'Lee Sin', 'Zoe', 'Xayah', 'Rakan'
'Vladimir', 'Ekko', 'Qiyana', "Kai'Sa", 'Thresh', 'Jax', "Kha'Zix", 'Annie', 'Ezreal', 'Braum'
'Camille', 'Ekko', 'LeBlanc', 'Lucian', 'Janna', 'Fiora', 'Jarvan IV', 'Lissandra', "Kai'Sa", 'Rakan'
'Jax', 'Shyvana', 'Annie', "Kai'Sa", 'Nautilus', 'Jayce', 'Ekko', 'Qiyana', 'Sivir', 'Karma'
'Olaf', 'Lee Sin', 'Syndra', "Kai'Sa", 'Volibear', 'Rumble', 'Elise', 'Irelia', 'Lucian', 'Zyra'
'Olaf', 'Lee Sin', 'Sylas', 'Vayne', 'Nautilus', 'Garen', 'Nidalee', 'Zed', "Kai'Sa", 'Morgana'
'Syndra', 'Gragas', 'Kled', "Kai'Sa", 'Thresh', 'Mordekaiser', 'Elise', 'Pantheon', 'Lucian', 'Pyke'
'Irelia', 'Aatrox', 'Viktor', 'Xayah', 'Tahm Kench', 'Kled', 'Nidalee', 'LeBlanc', 'Lucian', 'Thresh'
'Renekton', 'Elise', 'Akali', 'Miss Fortune', 'Thresh', 'Kled', "Rek'Sai", 'Annie', 'Ashe', 'Blitzcrank'
'Renekton', 'Lee Sin', 'Ryze', 'Caitlyn', 'Janna', 'Ornn', 'Shyvana', 'Lucian', "Kai'Sa", 'Nautilus'
'Jayce', "Rek'Sai", 'Taliyah', 'Sivir', 'Thresh', 'Fiora', 'Shyvana', 'Zed', "Kai'Sa", 'Nautilus'
'Renekton', 'Sylas', 'Qiyana', 'Ezreal', 'Yuumi', 'Kennen', 'Ekko', 'Zed', 'Lucian', 'Volibear'
'Gangplank', 'Fiddlesticks', 'Zed', 'Draven', 'Bard', 'Illaoi', 'Lee Sin', 'Syndra', 'Lucian', 'Nautilus'
'Gangplank', 'Karthus', 'Zed', 'Ezreal', 'Braum', 'Ryze', 'Gragas', 'Talon', 'Draven', 'Blitzcrank'
'Aatrox', 'Gragas', 'Neeko', 'Ezreal', 'Rakan', 'Ryze', 'Lee Sin', 'Talon', 'Xayah', 'Leona'
'Camille', 'Gragas', 'Kennen', "Kai'Sa", 'Poppy', 'Akali', 'Elise', 'Qiyana', 'Caitlyn', 'Leona'
'Jax', 'Nunu & Willump', 'Orianna', 'Xayah', 'Rakan', 'Irelia', 'Lee Sin', 'Kayle', 'Ashe', 'Miss Fortune'
'Mordekaiser', "Rek'Sai", 'Yasuo', "Kai'Sa", 'Thresh', 'Akali', 'Skarner', 'Pantheon', 'Xayah', 'Rakan'
'Irelia', 'Ekko', 'Galio', "Kai'Sa", 'Volibear', 'Kayle', 'Shyvana', 'Riven', 'Xayah', 'Rakan'
'Viktor', 'Pantheon', 'Galio', 'Wukong', 'Blitzcrank', 'Malphite', 'Lee Sin', 'Zilean', "Kai'Sa", 'Soraka'
'Gangplank', 'Lee Sin', 'Aurelion Sol', 'Varus', 'Nautilus', 'Riven', 'Nidalee', 'Talon', 'Miss Fortune', 'Thresh'
'Ryze', "Kha'Zix", 'Garen', "Kai'Sa", 'Thresh', 'Jayce', 'Nidalee', 'Zed', 'Lucian', 'Pyke'
'Akali', 'Lee Sin', 'Orianna', 'Caitlyn', 'Morgana', 'Teemo', 'Ekko', 'LeBlanc', 'Ashe', 'Pyke'
'Malphite', 'Lee Sin', 'Zed', 'Ezreal', 'Morgana', 'Garen', 'Lee Sin', 'Zed', 'Vayne', 'Sona'
'Garen', 'Lee Sin', 'Kassadin', "Kai'Sa", 'Nami', 'Renekton', 'Taliyah', 'Diana', 'Ezreal', 'Thresh'
'Kayle', 'Elise', 'Zed', "Kai'Sa", 'Lux', 'Urgot', 'Lee Sin', 'Sylas', 'Miss Fortune', 'Thresh'
'Yasuo', 'Evelynn', 'Shaco', 'Jinx', 'Vi', 'Talon', 'Lee Sin', 'Yasuo', 'Lucian', 'Pyke'
'Akali', 'Shyvana', 'Talon', 'Jhin', 'Pyke', 'Akali', 'Lee Sin', 'Zed', 'Ezreal', 'Yuumi'
'Fiora', 'Sylas', 'Yasuo', "Kai'Sa", 'Leona', 'Yasuo', 'Lee Sin', 'Akali', 'Ezreal', 'Yuumi'
'Rengar', 'Lee Sin', 'Qiyana', 'Xayah', 'Bard', 'Swain', 'Camille', 'Pyke', 'Miss Fortune', 'Rakan'
'Jax', 'Lee Sin', 'Ryze', 'Ezreal', 'Sion', 'Mordekaiser', 'Gragas', 'Jayce', 'Lucian', 'Shen'
'Irelia', 'Ekko', 'Kayle', 'Quinn', 'Pyke', 'Rumble', 'Lee Sin', 'Ezreal', 'Heimerdinger', 'Thresh'
'Vladimir', 'Nidalee', 'Sylas', 'Xayah', 'Lux', 'Teemo', 'Karthus', 'Renekton', 'Sivir', 'Swain'
'Renekton', 'Ivern', 'Jax', "Kai'Sa", 'Thresh', 'Yasuo', 'Gragas', 'Aatrox', 'Caitlyn', 'Karma'
'Darius', "Kha'Zix", 'Akali', 'Lucian', 'Leona', 'Vladimir', 'Xin Zhao', 'Ekko', 'Xayah', 'Alistar'
'Vladimir', "Kha'Zix", 'Cassiopeia', 'Ashe', 'Rakan', 'Sylas', 'Nunu & Willump', 'Orianna', 'Vayne', 'Alistar'
'Jax', 'Nidalee', 'Zoe', 'Miss Fortune', 'Fiddlesticks', 'Fiora', 'Lee Sin', 'Sylas', "Kai'Sa", 'Nautilus'
'Vladimir', 'Lee Sin', 'Irelia', 'Veigar', 'Blitzcrank', 'Pantheon', 'Shyvana', 'Jayce', 'Xayah', 'Rakan'
'Kayle', 'Jarvan IV', 'Akali', 'Miss Fortune', 'Soraka', 'Kennen', 'Lee Sin', 'Vladimir', 'Lucian', "Vel'Koz"
