'Azir', 'Taliyah', 'Caitlyn', 'Zyra', 'Udyr', 'Karma', 'Zilean', 'Olaf', 'Ezreal', 'Amumu'
'Garen', "Rek'Sai", 'Akali', 'Ezreal', 'Pyke', 'Diana', 'Graves', 'Lucian', 'Xayah', 'Rakan'
'Camille', 'Nidalee', 'Qiyana', 'Caitlyn', 'Morgana', 'Rengar', 'Elise', 'Diana', "Kai'Sa", 'Thresh'
'Sivir', "Vel'Koz", 'Gangplank', 'Garen', 'Sion', 'Pyke', 'Karma', 'Volibear', 'Lee Sin', 'Janna'
'Rengar', 'Elise', 'Diana', 'Lucian', 'Galio', 'Shen', 'Ekko', 'Irelia', "Kai'Sa", 'Nautilus'
'Rengar', 'Karthus', 'Diana', "Kai'Sa", 'Morgana', 'Aatrox', 'Taliyah', 'Qiyana', 'Miss Fortune', 'Nautilus'
'Vladimir', 'Olaf', 'Diana', 'Caitlyn', 'Bard', 'Shen', 'Shaco', 'Akali', 'Lucian', 'Pyke'
'Gnar', 'Karthus', 'Diana', 'Tristana', 'Pyke', 'Jayce', 'Shyvana', 'Aatrox', 'Miss Fortune', 'Alistar'
'Gangplank', 'Nidalee', 'Akali', 'Xayah', 'Pyke', 'Garen', 'Lee Sin', 'LeBlanc', 'Caitlyn', 'Morgana'
'Gangplank', 'Ekko', 'Garen', 'Syndra', 'Tahm Kench', 'Kennen', 'Lee Sin', 'Nocturne', "Kai'Sa", 'Volibear'
'Viktor', 'Nidalee', 'Kled', 'Yasuo', 'Alistar', 'Renekton', 'Taliyah', 'Gangplank', "Kai'Sa", 'Thresh'
'Gangplank', 'Taliyah', 'Yasuo', 'Ryze', 'Bard', 'Syndra', 'Lee Sin', 'Zoe', 'Quinn', 'Gragas'
'Gangplank', "Kha'Zix", 'Lissandra', 'Xayah', 'Morgana', 'Sylas', 'Lee Sin', 'LeBlanc', 'Ezreal', 'Leona'
'Mordekaiser', 'Elise', 'Kayle', "Kai'Sa", 'Leona', 'Gangplank', 'Olaf', 'Akali', 'Xayah', 'Alistar'
'Galio', 'Neeko', 'Fizz', 'Caitlyn', 'Qiyana', 'Sivir', 'Syndra', 'Kennen', 'Pantheon', 'Brand'
'Gangplank', 'Amumu', 'Renekton', 'Sivir', 'Nautilus', 'Blitzcrank', 'Lee Sin', 'Twisted Fate', 'Vayne', 'Braum'
'Nunu & Willump', 'Tryndamere', 'Morgana', 'Jhin', 'Graves', 'Hecarim', 'Vladimir', "Kha'Zix", 'Ezreal', 'Aatrox'
'Morgana', 'Pyke', 'Gragas', 'Nidalee', 'Jinx', 'Alistar', 'Akali', 'Pantheon', 'Fiora', 'Galio'
'Lucian', 'Karma', 'Xayah', 'Braum', 'Nautilus', 'Darius', 'Malzahar', 'Zac', 'Twitch', 'Xerath'
'Jax', 'Ekko', 'Zoe', 'Ashe', 'Thresh', 'Garen', 'Nidalee', 'Twisted Fate', 'Caitlyn', 'Morgana'
'Nasus', 'Yasuo', 'Rammus', 'Teemo', 'Kassadin', 'Jax', 'Qiyana', 'Sona', "Vel'Koz", 'Caitlyn'
'Jayce', 'Elise', 'Akali', 'Xayah', 'Rakan', 'Vladimir', "Rek'Sai", 'Zoe', 'Ezreal', 'Thresh'
'Irelia', 'Taliyah', 'Camille', 'Jinx', 'Thresh', 'Renekton', 'Lee Sin', 'Zoe', 'Miss Fortune', 'Shen'
'Pantheon', 'Karthus', 'Twisted Fate', 'Lucian', 'Braum', 'Shen', 'Ekko', 'Vladimir', "Kai'Sa", 'Thresh'
'Camille', 'Ekko', 'Pantheon', 'Jinx', 'Thresh', 'Urgot', 'Elise', 'Shen', 'Xayah', 'Nautilus'
'Renekton', 'Taliyah', 'Pantheon', 'Miss Fortune', 'Nautilus', 'Syndra', 'Lee Sin', 'Rumble', 'Lucian', 'Braum'
'Kayle', 'Kindred', 'Jayce', "Kai'Sa", 'Pyke', 'Vladimir', 'Gragas', 'Twisted Fate', 'Jinx', 'Thresh'
'Renekton', "Kha'Zix", 'Galio', "Kai'Sa", 'Leona', 'Aatrox', 'Sejuani', 'Akali', 'Vayne', 'Thresh'
'Vladimir', "Kha'Zix", 'LeBlanc', 'Lucian', 'Thresh', 'Karma', 'Nidalee', 'Pantheon', "Kai'Sa", 'Alistar'
'Vladimir', "Kha'Zix", 'Galio', 'Miss Fortune', 'Swain', 'Karma', 'Nidalee', 'Ryze', "Kai'Sa", 'Thresh'
'Jayce', 'Lee Sin', 'Diana', 'Lucian', 'Bard', 'Olaf', 'Nidalee', 'Yasuo', 'Ezreal', 'Volibear'
'Irelia', 'Lee Sin', 'LeBlanc', 'Lucian', 'Nautilus', 'Renekton', 'Gragas', 'Akali', 'Ezreal', 'Braum'
'Camille', "Rek'Sai", 'Karma', 'Lucian', 'Braum', 'Renekton', 'Gragas', 'Yasuo', "Kai'Sa", 'Rakan'
'Sylas', 'Kindred', 'Camille', 'Ezreal', 'Rakan', 'Fiora', "Rek'Sai", 'Yasuo', 'Karma', 'Fiddlesticks'
'Darius', 'Qiyana', 'Sylas', 'Miss Fortune', 'Anivia', 'Viktor', 'Ekko', 'LeBlanc', 'Yasuo', 'Blitzcrank'
'Riven', 'Nidalee', 'Camille', "Kai'Sa", 'Rakan', 'Kayle', 'Lee Sin', 'Yasuo', 'Miss Fortune', 'Leona'
'Rengar', 'Gragas', 'Yasuo', 'Ashe', 'Morgana', 'Fiora', 'Elise', 'Lucian', "Kai'Sa", 'Nautilus'
'Renekton', 'Elise', 'Qiyana', "Kai'Sa", 'Leona', 'Singed', 'Gragas', 'Nocturne', 'Yasuo', 'Morgana'
'Akali', 'Xin Zhao', 'Lulu', 'Ashe', 'Thresh', 'Irelia', 'Olaf', 'Rumble', 'Syndra', 'Blitzcrank'
'Jayce', 'Gragas', 'Yasuo', "Kai'Sa", 'Swain', 'Ryze', 'Kindred', 'Rumble', 'Sivir', 'Alistar'
'Jayce', 'Lee Sin', 'Sylas', 'Ezreal', 'Tahm Kench', 'Irelia', 'Ekko', 'Ryze', 'Lucian', 'Nami'
'Gangplank', 'Sylas', 'Yasuo', 'Ezreal', 'Zyra', 'Renekton', 'Gragas', 'Galio', 'Sivir', 'Yuumi'
'Lucian', 'Lee Sin', 'Vayne', 'Miss Fortune', "Vel'Koz", 'Kayle', 'Jarvan IV', 'Malphite', 'Jinx', 'Thresh'
'Renekton', 'Ekko', 'Irelia', 'Lucian', 'Rakan', 'Camille', 'Nidalee', 'Ezreal', 'Xayah', 'Bard'
'Lucian', 'Elise', 'LeBlanc', 'Vayne', 'Karma', 'Jax', 'Gragas', 'Ezreal', 'Heimerdinger', 'Morgana'
'Aatrox', 'Zac', 'Orianna', 'Ezreal', 'Karma', 'Sylas', "Rek'Sai", 'Zoe', 'Lucian', 'Thresh'
'Camille', 'Nidalee', 'Ezreal', 'Xayah', 'Leona', 'Quinn', "Rek'Sai", 'Jayce', "Kai'Sa", 'Rakan'
'Jayce', 'Lee Sin', 'Kayle', 'Draven', 'Thresh', 'Jax', "Rek'Sai", 'Galio', 'Lucian', 'Pyke'
'Kayle', 'Qiyana', 'Sylas', 'Xayah', 'Nautilus', 'Camille', 'Nidalee', 'Malphite', 'Lucian', 'Pyke'
'Renekton', 'Taliyah', 'Ryze', 'Ezreal', 'Blitzcrank', 'Vladimir', 'Lee Sin', 'Zoe', 'Jinx', 'Morgana'
'Jayce', 'Nidalee', 'Kayle', 'Xayah', 'Rakan', 'Ryze', 'Lee Sin', 'Pantheon', "Kai'Sa", 'Thresh'
'Gragas', 'Karthus', 'Yasuo', 'Lucian', 'Leona', 'Camille', 'Elise', 'Morgana', "Kai'Sa", 'Bard'
'Zoe', 'Lee Sin', 'Tristana', 'Ezreal', 'Rakan', 'Irelia', 'Elise', 'Lucian', "Kai'Sa", 'Alistar'
'Vladimir', "Rek'Sai", 'Galio', 'Lucian', 'Pyke', 'Kayle', 'Ekko', 'Gangplank', "Kai'Sa", 'Xerath'
'Mordekaiser', "Kha'Zix", 'Vladimir', 'Caitlyn', 'Morgana', 'Ryze', 'Lee Sin', 'Lulu', "Kog'Maw", 'Karma'
'Akali', "Kha'Zix", 'Zoe', 'Lucian', 'Alistar', 'Gnar', 'Kindred', 'LeBlanc', 'Ezreal', 'Nautilus'
'Neeko', 'Olaf', 'Galio', "Kai'Sa", 'Thresh', 'Garen', 'Elise', 'Renekton', 'Ezreal', 'Yuumi'
'Aatrox', 'Olaf', 'Galio', 'Lucian', 'Braum', 'Quinn', 'Elise', 'Vayne', 'Xayah', 'Nautilus'
'Tristana', "Rek'Sai", 'Malzahar', 'Ezreal', 'Pyke', 'Poppy', 'Gragas', 'Aurelion Sol', "Kai'Sa", 'Rakan'
'Fizz', 'Lee Sin', 'Karma', 'Xayah', 'Rakan', 'Jayce', 'Ekko', 'Tristana', "Kai'Sa", 'Pyke'
'Karma', 'Aatrox', 'Ekko', 'Xayah', 'Pyke', 'Neeko', 'Elise', 'Tristana', 'Lucian', 'Ornn'
'Irelia', 'Nidalee', 'Syndra', 'Xayah', 'Soraka', 'Akali', "Rek'Sai", 'LeBlanc', 'Jinx', 'Morgana'
'Gnar', 'Olaf', 'Akali', 'Draven', 'Thresh', 'Riven', 'Ekko', 'Twisted Fate', 'Jinx', 'Morgana'
'Garen', 'Gragas', 'Yasuo', "Kai'Sa", 'Thresh', 'Irelia', 'Olaf', 'Vladimir', 'Neeko', 'Pyke'
'Irelia', 'Karthus', 'Galio', "Kai'Sa", 'Nautilus', 'Fiora', 'Ekko', 'Ryze', 'Sivir', 'Pyke'
'Jax', 'Kindred', 'Galio', 'Lucian', 'Braum', 'Twisted Fate', 'Nidalee', 'Rengar', 'Jinx', 'Thresh'
'Camille', 'Ekko', 'Karma', 'Miss Fortune', 'Nautilus', 'Poppy', "Rek'Sai", 'Galio', 'Xayah', 'Leona'
'Qiyana', 'Camille', 'Lucian', 'Maokai', 'Braum', 'Karma', 'Twitch', 'Zoe', "Kai'Sa", 'Blitzcrank'
'Katarina', 'Veigar', 'Kayle', 'Mordekaiser', 'Karthus', 'Trundle', 'Draven', 'Nami', "Kha'Zix", 'Nidalee'
'Kalista', 'Karma', 'Malphite', 'Blitzcrank', 'Malzahar', 'Zed', "Kai'Sa", 'Vladimir', 'Quinn', 'Varus'
'Jhin', 'Morgana', 'Rakan', 'Lucian', 'Garen', 'Anivia', 'Sylas', 'Miss Fortune', 'Dr. Mundo', 'Taliyah'
'Kalista', 'Lissandra', 'Zilean', 'Xayah', 'Qiyana', 'Karma', 'Neeko', 'Xin Zhao', 'Anivia', 'Bard'
'Lucian', 'Caitlyn', 'Camille', 'Ivern', 'Tristana', 'Shaco', 'Nunu & Willump', 'Vayne', 'Kassadin', "Kha'Zix"
'Riven', 'Karthus', 'Azir', 'Caitlyn', 'Darius', 'Cassiopeia', 'Pyke', 'Malphite', 'Janna', 'Varus'
'Aatrox', 'Olaf', 'LeBlanc', 'Caitlyn', 'Lux', 'Renekton', 'Karthus', 'Galio', 'Jinx', 'Morgana'
'Sylas', 'Ekko', 'Qiyana', "Kai'Sa", 'Pyke', 'Akali', 'Lee Sin', 'LeBlanc', 'Jinx', 'Tahm Kench'
'Viktor', 'Xin Zhao', "Vel'Koz", 'Ezreal', 'Nautilus', 'Ryze', "Kha'Zix", 'Garen', "Kai'Sa", 'Braum'
'Jax', 'Ekko', 'Qiyana', "Kai'Sa", 'Gragas', 'Camille', "Rek'Sai", "Vel'Koz", 'Lucian', 'Nautilus'
'Jax', 'Nidalee', 'LeBlanc', 'Miss Fortune', 'Thresh', 'Camille', 'Lee Sin', 'Zoe', 'Ezreal', 'Rakan'
'Irelia', 'Lee Sin', 'Ryze', 'Tristana', 'Karma', 'Camille', 'Zac', 'Vladimir', 'Caitlyn', 'Morgana'
'Jayce', "Rek'Sai", 'Vladimir', "Kai'Sa", 'Thresh', 'Kayle', 'Lee Sin', 'Kled', 'Syndra', 'Pyke'
'Kayle', 'Ekko', 'Qiyana', "Kai'Sa", 'Gragas', 'Camille', 'Lee Sin', 'Garen', 'Lucian', 'Thresh'
'Thresh', 'Morgana', 'Jhin', 'Urgot', 'Caitlyn', 'Yuumi', 'Ekko', 'Katarina', 'Shen', 'Zed'
'Vladimir', 'Ekko', 'Garen', 'Lucian', 'Blitzcrank', 'Twisted Fate', 'Olaf', 'Kayle', 'Miss Fortune', 'Rakan'
'Nasus', 'Elise', 'Talon', 'Jhin', 'Swain', 'Poppy', 'Nidalee', 'Ezreal', 'Garen', 'Yuumi'
'Lissandra', 'Gangplank', 'Amumu', 'Kalista', 'Syndra', 'Pyke', 'Fizz', 'Caitlyn', 'Anivia', 'Garen'
'Tristana', 'Ekko', 'Galio', 'Lucian', 'Alistar', 'Twisted Fate', 'Lee Sin', 'Rumble', 'Miss Fortune', 'Leona'
'Nami', 'Katarina', 'Renekton', 'Ziggs', "Kog'Maw", 'Soraka', 'Ashe', 'Tryndamere', "Kha'Zix", 'Gangplank'
'Cassiopeia', 'Janna', 'Sivir', 'Jayce', 'Varus', 'Illaoi', 'Pyke', 'Zyra', 'Caitlyn', 'Shyvana'
'Urgot', 'Shyvana', 'Heimerdinger', "Kai'Sa", 'Janna', 'Irelia', 'Ekko', 'Pyke', 'Xayah', 'Lulu'
'Maokai', 'Xin Zhao', 'Galio', 'Jinx', 'Pyke', 'Pantheon', 'Lee Sin', 'Garen', "Kai'Sa", 'Rakan'
'Diana', 'Ekko', 'Qiyana', 'Ezreal', 'Shen', 'Gangplank', 'Ornn', 'Kayle', "Kai'Sa", 'Lulu'
'Kayle', 'Jarvan IV', 'LeBlanc', 'Miss Fortune', 'Zyra', 'Lucian', 'Ekko', 'Zoe', 'Varus', 'Ashe'
'Karma', 'Olaf', 'Galio', "Kai'Sa", 'Volibear', 'Camille', 'Jarvan IV', 'Ryze', 'Lucian', 'Yuumi'
'Ornn', 'Lee Sin', 'Akali', 'Caitlyn', 'Thresh', 'Vladimir', 'Graves', 'Fizz', 'Xayah', 'Bard'
'Aatrox', 'Ekko', 'Diana', "Kai'Sa", 'Thresh', 'Akali', 'Lee Sin', 'Zoe', 'Varus', 'Tahm Kench'
'Gangplank', 'Elise', 'Irelia', 'Caitlyn', 'Lux', 'Jax', 'Nidalee', 'Twisted Fate', "Kai'Sa", 'Volibear'
'Aatrox', 'Olaf', 'Zoe', "Kai'Sa", 'Pyke', 'Mordekaiser', "Kha'Zix", 'Swain', 'Lucian', 'Nautilus'
'Gangplank', 'Shaco', 'Galio', "Kai'Sa", 'Jarvan IV', 'Lucian', 'Rengar', 'Syndra', 'Ezreal', 'Bard'
'Kayle', 'Hecarim', 'Akali', 'Lucian', 'Bard', 'Vladimir', 'Karthus', 'Jayce', 'Tristana', 'Pyke'
'Kennen', "Kha'Zix", 'Ryze', 'Ashe', 'Thresh', 'Rengar', 'Olaf', 'Diana', 'Miss Fortune', 'Nautilus'
'Gangplank', 'Nidalee', 'Twisted Fate', "Kai'Sa", 'Thresh', 'Garen', 'Olaf', 'Karthus', 'Miss Fortune', 'Gragas'
'Twisted Fate', 'Vayne', "Vel'Koz", 'Skarner', 'Orianna', 'Teemo', 'Trundle', 'Alistar', 'Shaco', 'Jarvan IV'
'Shen', 'Shyvana', 'Garen', "Kai'Sa", 'Nautilus', 'Jayce', 'Ekko', "Vel'Koz", 'Ezreal', 'Tahm Kench'
'Vladimir', 'Olaf', 'Taliyah', 'Lucian', 'Nautilus', 'Renekton', 'Karthus', 'Orianna', 'Sivir', 'Rakan'
'Swain', 'Varus', 'Zoe', 'Katarina', 'Miss Fortune', 'Draven', "Kha'Zix", 'Shen', "Vel'Koz", 'Graves'
'Zed', 'Caitlyn', 'Trundle', 'Veigar', 'Leona', 'Viktor', 'Morgana', 'Tryndamere', 'Sivir', 'Master Yi'
'Karma', 'Karthus', 'Jayce', 'Ezreal', 'Yuumi', 'Tristana', 'Evelynn', 'Syndra', 'Miss Fortune', 'Janna'
'Shen', 'Taliyah', 'Renekton', 'Miss Fortune', 'Brand', 'Olaf', 'Nidalee', 'Qiyana', 'Lucian', 'Rakan'
'Tristana', 'Jax', 'Diana', 'Teemo', 'Maokai', 'Vladimir', 'Ahri', 'Sivir', 'Karthus', 'Corki'
'Kennen', 'Nidalee', 'Qiyana', 'Lucian', 'Nautilus', 'Riven', 'Ekko', 'Yasuo', "Kai'Sa", 'Pyke'
'Janna', 'Teemo', 'Galio', 'Sivir', 'Nunu & Willump', 'Karma', 'Katarina', 'Kindred', 'Garen', 'Lee Sin'
'Gangplank', 'Taric', 'Renekton', 'Lucian', 'Nautilus', 'Tryndamere', 'Elise', 'Qiyana', 'Ashe', 'Tahm Kench'
'Renekton', 'Karthus', 'Malzahar', 'Xayah', 'Rakan', 'Vladimir', 'Lee Sin', 'LeBlanc', 'Lucian', 'Yuumi'
'Rengar', 'Ekko', 'Yasuo', "Kai'Sa", 'Rakan', 'Olaf', 'Lee Sin', 'Akali', 'Ezreal', 'Nautilus'
'Orianna', 'Caitlyn', 'Vayne', 'Nami', 'Morgana', 'Tahm Kench', 'Lissandra', 'Pyke', 'Lux', 'Xayah'
'Vladimir', 'Elise', 'Pantheon', 'Lucian', 'Blitzcrank', 'Jayce', 'Taliyah', 'Kled', 'Ezreal', 'Nautilus'
'Pantheon', 'Nidalee', 'Vladimir', 'Miss Fortune', 'Alistar', 'Irelia', 'Taliyah', 'Nocturne', 'Ezreal', 'Tahm Kench'
'Jayce', "Kha'Zix", 'Pantheon', 'Xayah', 'Thresh', 'Kayle', 'Ekko', 'Garen', "Kai'Sa", 'Pyke'
'Garen', 'Nocturne', 'Vladimir', 'Lucian', 'Nautilus', 'Irelia', "Kha'Zix", 'Akali', 'Xayah', 'Rakan'
'Quinn', 'Taliyah', 'Irelia', "Kai'Sa", 'Pyke', 'Ryze', 'Elise', 'Renekton', 'Xayah', 'Thresh'
'Camille', 'Nidalee', 'Qiyana', 'Caitlyn', 'Morgana', 'Rengar', 'Elise', 'Diana', "Kai'Sa", 'Thresh'
'Rengar', 'Taliyah', 'Diana', 'Ezreal', 'Nautilus', 'Jayce', 'Elise', 'Garen', 'Vayne', 'Galio'
'Lucian', 'Lee Sin', 'Twisted Fate', 'Vayne', 'Nautilus', 'Jax', 'Gragas', 'Irelia', "Kai'Sa", 'Galio'
'Lucian', 'Sylas', 'Singed', 'Miss Fortune', 'Janna', 'Irelia', 'Jarvan IV', 'Zoe', 'Yasuo', 'Gragas'
'Garen', 'Gragas', 'Pyke', 'Ezreal', 'Tahm Kench', 'Vladimir', 'Lee Sin', 'Aatrox', 'Xayah', 'Thresh'
'Garen', 'Elise', 'Nocturne', 'Karthus', 'Shen', 'Pyke', 'Kayn', 'LeBlanc', 'Ezreal', 'Gragas'
'Jayce', 'Ekko', 'Qiyana', 'Jinx', 'Thresh', 'Pyke', 'Lee Sin', 'Talon', 'Syndra', 'Swain'
'Pyke', 'Nidalee', 'Camille', 'Ezreal', 'Blitzcrank', 'Fiora', 'Jarvan IV', 'Shyvana', "Kai'Sa", 'Thresh'
'Vayne', 'Nidalee', 'Lucian', 'Miss Fortune', 'Nautilus', 'Camille', 'Ekko', 'Galio', "Kai'Sa", 'Alistar'
'Aatrox', 'Olaf', 'Galio', 'Lucian', 'Braum', 'Quinn', 'Elise', 'Vayne', 'Xayah', 'Nautilus'
'Quinn', "Kha'Zix", 'Ekko', "Kai'Sa", 'Nautilus', 'Renekton', 'Lee Sin', 'Zoe', 'Lucian', 'Thresh'
'Jayce', 'Nidalee', 'Twisted Fate', 'Jinx', 'Thresh', 'Pyke', "Kha'Zix", 'Taliyah', 'Ashe', 'Tahm Kench'
'Renekton', 'Elise', 'Orianna', 'Ezreal', 'Gragas', 'Kennen', 'Kindred', 'Galio', "Kai'Sa", 'Morgana'
'Kayle', 'Taliyah', 'Irelia', "Kai'Sa", 'Nautilus', 'Jax', 'Ekko', 'Galio', 'Xayah', 'Thresh'
'Lucian', "Kha'Zix", "Vel'Koz", 'Ezreal', 'Nautilus', 'Rumble', "Rek'Sai", 'LeBlanc', "Kai'Sa", 'Morgana'
'Jayce', 'Kindred', 'LeBlanc', 'Sivir', 'Pyke', 'Aatrox', 'Lee Sin', 'Zoe', "Kai'Sa", 'Nautilus'
'Aatrox', "Kha'Zix", 'Vladimir', 'Syndra', 'Pyke', 'Kayle', 'Elise', 'Taliyah', 'Miss Fortune', 'Nautilus'
'Kayle', "Kha'Zix", 'Diana', 'Ezreal', 'Pyke', 'Lucian', 'Olaf', 'Twisted Fate', 'Jinx', 'Thresh'
'Jax', 'Kindred', 'Galio', 'Lucian', 'Braum', 'Twisted Fate', 'Nidalee', 'Rengar', 'Jinx', 'Thresh'
'Quinn', 'Poppy', 'Kayle', 'Jinx', 'Thresh', 'Jayce', 'Nidalee', 'Viktor', 'Caitlyn', 'Morgana'
'Garen', 'Karthus', 'Orianna', "Kai'Sa", 'Volibear', 'Vayne', 'Ekko', 'Syndra', 'Xayah', 'Rakan'
'Irelia', 'Lee Sin', 'Galio', 'Lucian', 'Soraka', 'Rumble', "Rek'Sai", 'LeBlanc', 'Miss Fortune', 'Shen'
'Jax', 'Jarvan IV', 'Syndra', 'Ezreal', 'Neeko', 'Zac', 'Lee Sin', 'Xerath', 'Lucian', 'Pyke'
'Garen', 'Zac', 'Yasuo', 'Jhin', 'Nautilus', 'Aatrox', 'Lee Sin', "Vel'Koz", 'Ashe', 'Braum'
'Renekton', 'Karthus', 'Ryze', 'Lucian', 'Morgana', 'Quinn', 'Ekko', 'Zoe', 'Xayah', 'Nautilus'
'Karma', 'Graves', 'Twisted Fate', 'Jinx', 'Thresh', 'Kennen', 'Xin Zhao', 'Rumble', 'Lucian', 'Morgana'
