'Galio', 'Janna', 'Vayne', 'Sona', 'Karma', 'Ezreal', 'Tryndamere', 'Skarner', 'Nidalee', 'Ziggs'
'Twisted Fate', 'Master Yi', 'Sylas', 'Lucian', 'Blitzcrank', 'Nidalee', 'Sylas', 'Yasuo', 'Xayah', 'Pyke'
'Jax', 'Shyvana', 'Vladimir', 'Ashe', 'Morgana', 'Rengar', 'Xin Zhao', 'Sylas', 'Varus', 'Thresh'
'Jax', 'Nidalee', 'Camille', 'Ezreal', 'Blitzcrank', 'Vladimir', 'Elise', 'Irelia', 'Miss Fortune', 'Thresh'
'Kayle', 'Camille', 'Ornn', "Kai'Sa", 'Shaco', 'Nocturne', 'Nidalee', 'Qiyana', 'Ezreal', 'Blitzcrank'
'Morgana', 'Neeko', 'Ezreal', 'Corki', 'Xerath', 'Blitzcrank', 'Orianna', "Kai'Sa", 'Lulu', 'Lissandra'
"Kog'Maw", "Kai'Sa", 'Swain', 'Shen', 'Neeko', "Cho'Gath", 'Fiora', 'Sylas', 'Teemo', 'Ashe'
'Graves', 'Urgot', 'Ekko', 'Nunu & Willump', 'Sion', 'Azir', 'Blitzcrank', 'Taliyah', 'Fiddlesticks', 'Wukong'
'Amumu', 'Jarvan IV', 'Pantheon', 'Garen', "Kai'Sa", 'Corki', 'Orianna', 'Rengar', 'LeBlanc', 'Jinx'
'Dr. Mundo', 'Caitlyn', 'Lucian', 'Kayle', 'Pantheon', 'Soraka', "Cho'Gath", 'Corki', 'Neeko', 'Jhin'
'Yasuo', 'Karma', 'Yuumi', 'Tristana', 'Orianna', 'Darius', 'Shyvana', 'Ivern', 'Sona', 'Xerath'
'Mordekaiser', 'Sejuani', 'Lissandra', 'Xayah', 'Thresh', 'Pantheon', 'Ekko', 'Azir', 'Ashe', 'Braum'
'Renekton', 'Elise', 'LeBlanc', 'Lucian', 'Lulu', 'Camille', 'Lee Sin', 'Tristana', 'Karthus', 'Shen'
'Fiora', 'Nidalee', 'Katarina', 'Xayah', 'Rakan', 'Fizz', "Rek'Sai", 'Sylas', "Kai'Sa", 'Nautilus'
'Akali', 'Zac', 'Quinn', 'Xayah', 'Rakan', 'Irelia', 'Ivern', 'Lucian', 'Draven', 'Leona'
'Vladimir', "Rek'Sai", 'Talon', "Kai'Sa", 'Alistar', 'Renekton', 'Lee Sin', 'Akali', 'Ashe', 'Nautilus'
'Lux', 'Galio', 'Master Yi', 'Yuumi', 'Ezreal', 'Ziggs', 'Janna', 'Fiora', 'Heimerdinger', 'Illaoi'
'Jax', 'Rengar', 'Ryze', "Kai'Sa", 'Nautilus', 'Akali', 'Zac', 'Fizz', 'Ezreal', 'Thresh'
'Camille', 'Nidalee', 'Gragas', 'Miss Fortune', 'Leona', 'Singed', 'Kindred', 'Akali', 'Lucian', 'Pyke'
'Garen', 'Graves', 'Viktor', "Kai'Sa", 'Blitzcrank', 'Pantheon', 'Ekko', 'Renekton', 'Miss Fortune', 'Nautilus'
'Kayle', 'Nidalee', 'Heimerdinger', 'Camille', 'Bard', 'Fiora', 'Nocturne', 'Kassadin', 'Ezreal', 'Thresh'
'Karma', 'Lee Sin', 'Ryze', 'Lucian', 'Thresh', 'Garen', 'Master Yi', 'Taric', 'Sivir', 'Lux'
'Ryze', 'Elise', 'Viktor', 'Ashe', 'Rakan', 'Cassiopeia', 'Lee Sin', 'Camille', 'Heimerdinger', 'Pyke'
'Camille', 'Nidalee', 'Yasuo', 'Lucian', 'Leona', 'Darius', 'Lee Sin', 'LeBlanc', 'Xayah', 'Thresh'
'Fiora', 'Ekko', 'Galio', "Kai'Sa", 'Blitzcrank', 'Pantheon', 'Twitch', 'Syndra', 'Sivir', 'Pyke'
'Kled', "Rek'Sai", 'Twisted Fate', 'Xayah', 'Shaco', 'Garen', 'Ekko', 'Camille', 'Jinx', 'Soraka'
'Camille', 'Lee Sin', 'Neeko', 'Xayah', 'Yuumi', 'Garen', 'Shaco', 'Lissandra', 'Ezreal', 'Yuumi'
'Teemo', 'Lee Sin', 'Taliyah', 'Caitlyn', 'Thresh', 'Jayce', 'Gragas', 'Azir', "Kai'Sa", 'Shaco'
'Urgot', 'Shaco', 'Riven', 'Vayne', 'Blitzcrank', 'Fiora', 'Zac', 'Malzahar', 'Draven', 'Blitzcrank'
'Gangplank', 'Lee Sin', 'Qiyana', 'Caitlyn', 'Nautilus', 'Renekton', 'Elise', 'Xin Zhao', 'Ashe', 'Thresh'
'Irelia', 'Ekko', 'Nocturne', 'Ashe', 'Karma', 'Renekton', 'Nidalee', 'Taliyah', 'Tristana', 'Taric'
'Jayce', 'Gragas', 'Ekko', 'Lucian', 'Nautilus', 'Renekton', 'Karthus', 'Qiyana', "Kai'Sa", 'Thresh'
'Jax', 'Taliyah', 'Heimerdinger', 'Vayne', 'Morgana', 'Fiora', 'Gragas', 'Nocturne', 'Ashe', 'Soraka'
'Camille', 'Poppy', 'Ahri', 'Caitlyn', 'Morgana', 'Darius', 'Lee Sin', 'Gragas', 'Ashe', 'Tahm Kench'
'Akali', "Kha'Zix", 'LeBlanc', 'Miss Fortune', 'Pyke', 'Aatrox', 'Zac', 'Orianna', 'Xayah', 'Leona'
'Vladimir', 'Sejuani', 'Twisted Fate', 'Ezreal', 'Shen', 'Pantheon', 'Lee Sin', 'Zoe', 'Xayah', 'Rakan'
'Syndra', 'Corki', 'Galio', 'Diana', 'Vayne', 'Vladimir', 'Gangplank', 'Maokai', 'Braum', 'Neeko'
'Ryze', 'Kayle', 'Thresh', 'Aurelion Sol', 'Malphite', 'Lulu', 'Akali', 'Graves', 'Sivir', 'Veigar'
'Karma', 'Lucian', 'Shen', 'Gragas', 'Taliyah', 'Corki', 'Nocturne', 'Kindred', 'Akali', "Cho'Gath"
'Zoe', 'Yuumi', 'Pyke', 'Xerath', 'Janna', 'Dr. Mundo', 'Qiyana', 'Lux', 'Twitch', 'Kassadin'
'Morgana', 'Singed', 'Evelynn', 'Draven', 'Alistar', 'Zoe', 'Varus', 'Katarina', 'Karma', 'Trundle'
'Pantheon', 'Karthus', 'Morgana', 'Riven', 'Blitzcrank', 'Irelia', 'Ekko', 'Sylas', 'Ezreal', 'Karma'
'Vladimir', "Kha'Zix", 'Taliyah', 'Sivir', 'Rakan', 'Gangplank', 'Gragas', 'Yasuo', "Kai'Sa", 'Blitzcrank'
'Akali', "Kha'Zix", 'Viktor', 'Lucian', 'Gragas', 'Fiora', 'Lee Sin', 'Cassiopeia', 'Ezreal', 'Zyra'
'Vladimir', 'Lee Sin', 'Talon', 'Ezreal', 'Thresh', 'Kennen', "Rek'Sai", 'Zoe', 'Tristana', 'Rakan'
'Pantheon', 'Taliyah', 'Katarina', 'Xayah', 'Nautilus', 'Camille', 'Ekko', 'Talon', "Kai'Sa", 'Morgana'
'Gangplank', 'Elise', 'Katarina', 'Lucian', 'Soraka', 'Kayle', 'Olaf', 'Talon', 'Miss Fortune', 'Leona'
'Pantheon', 'Nidalee', 'Talon', "Kai'Sa", 'Nautilus', 'Riven', 'Nunu & Willump', 'Annie', 'Xayah', 'Blitzcrank'
'Mordekaiser', 'Ekko', 'Talon', 'Lucian', 'Janna', 'Kayle', 'Kled', 'Aatrox', 'Miss Fortune', 'Pyke'
'Camille', 'Nidalee', 'Talon', 'Ezreal', 'Zilean', 'Pantheon', 'Lee Sin', 'LeBlanc', 'Sivir', 'Nautilus'
'Lucian', 'Twitch', 'Aatrox', "Kai'Sa", 'Karma', 'Kayle', 'Gragas', 'Talon', 'Yasuo', 'Volibear'
'Pantheon', 'Karthus', 'Galio', 'Lucian', 'Alistar', 'Kennen', 'Lee Sin', 'Talon', "Kai'Sa", 'Braum'
'Sylas', 'Lee Sin', 'Talon', 'Jinx', 'Nautilus', 'Pantheon', 'Ekko', 'Yasuo', "Kai'Sa", 'Leona'
'Karma', 'Pantheon', 'Jayce', 'Vayne', 'Zilean', 'Nasus', 'Evelynn', 'Vladimir', 'Ezreal', 'Blitzcrank'
'Vladimir', 'Rengar', 'Yasuo', 'Lucian', 'Yuumi', 'Shen', 'Vi', 'Galio', 'Ezreal', 'Brand'
'Aatrox', 'Lee Sin', 'Vladimir', 'Tristana', 'Blitzcrank', 'Teemo', 'Jarvan IV', 'Talon', "Kai'Sa", 'Pyke'
'Malphite', 'Xin Zhao', 'Orianna', 'Xayah', 'Thresh', 'Vayne', 'Elise', 'Zyra', "Kai'Sa", 'Blitzcrank'
'Kennen', 'Malphite', 'Neeko', 'Lucian', 'Braum', 'Ornn', 'Gragas', 'Diana', "Kai'Sa", 'Janna'
'Quinn', 'Nidalee', 'Xerath', 'Caitlyn', 'Thresh', 'Jayce', 'Shaco', 'Syndra', 'Ashe', 'Lux'
'Gangplank', 'Taliyah', 'Ryze', "Kai'Sa", 'Nautilus', 'Maokai', 'Elise', 'Ahri', 'Draven', 'Karma'
'Garen', 'Lee Sin', 'Draven', 'Viktor', 'Lux', 'Vayne', 'Pantheon', 'Kennen', 'Miss Fortune', 'Thresh'
'Malphite', 'Rengar', 'Talon', 'Caitlyn', 'Nautilus', 'Fiora', 'Xin Zhao', 'Cassiopeia', 'Ezreal', 'Zilean'
'Vladimir', 'Jarvan IV', 'LeBlanc', 'Ezreal', 'Shen', 'Pantheon', 'Elise', 'Pyke', 'Lucian', 'Bard'
'Kayle', 'Sylas', 'Irelia', "Kai'Sa", 'Blitzcrank', 'Garen', 'Nidalee', 'Jayce', 'Lucian', 'Pyke'
'Vladimir', 'Lee Sin', 'Ahri', "Kai'Sa", 'Alistar', 'Kled', 'Ekko', 'Ryze', 'Jinx', 'Nautilus'
'Renekton', 'Karthus', 'Kassadin', "Kai'Sa", 'Leona', 'Kennen', 'Kindred', 'Master Yi', 'Vayne', 'Syndra'
'Camille', 'Lee Sin', 'Orianna', "Kai'Sa", 'Alistar', 'Kayle', 'Ekko', "Vel'Koz", 'Lucian', 'Morgana'
'Jayce', 'Taliyah', 'Galio', "Kai'Sa", 'Thresh', 'Camille', 'Zac', 'Tristana', 'Xayah', 'Nautilus'
'Camille', 'Nidalee', 'Jayce', "Kai'Sa", 'Nautilus', 'Irelia', 'Twitch', 'LeBlanc', 'Xayah', 'Rakan'
'Camille', 'Xin Zhao', 'Lissandra', 'Ashe', 'Nautilus', 'Garen', 'Nidalee', 'Ekko', "Kai'Sa", 'Maokai'
'Vayne', 'Taliyah', 'Galio', 'Ezreal', 'Alistar', 'Quinn', 'Lee Sin', 'Garen', "Kai'Sa", 'Yuumi'
'Kennen', "Rek'Sai", 'Zoe', "Kai'Sa", 'Galio', 'Ryze', 'Lee Sin', 'Qiyana', 'Ashe', 'Tahm Kench'
'Darius', 'Elise', 'Zoe', 'Vayne', 'Braum', 'Jax', 'Lee Sin', 'Akali', "Kai'Sa", 'Blitzcrank'
'Jax', 'Ekko', 'Orianna', 'Ashe', 'Blitzcrank', 'Garen', 'Lee Sin', 'Zilean', 'Caitlyn', 'Zyra'
'Pantheon', 'Lee Sin', 'Kennen', "Kai'Sa", 'Poppy', 'Irelia', 'Nidalee', 'Azir', 'Ashe', 'Thresh'
'Pantheon', 'Elise', 'Qiyana', "Kai'Sa", 'Nautilus', 'Ornn', 'Lee Sin', 'Katarina', 'Xayah', 'Rakan'
'Renekton', 'Ekko', 'Yasuo', 'Lucian', 'Lux', 'Darius', 'Nidalee', 'LeBlanc', "Kai'Sa", 'Volibear'
'Akali', 'Lee Sin', 'Neeko', "Kai'Sa", 'Volibear', 'Renekton', 'Ekko', 'Twisted Fate', 'Ezreal', 'Fiddlesticks'
'Kayle', 'Amumu', 'Pyke', 'Thresh', 'Sona', 'Rumble', 'Wukong', 'Akali', "Kai'Sa", 'Yuumi'
'Fiora', 'Jax', 'Zoe', 'Miss Fortune', 'Blitzcrank', 'Pyke', 'Lee Sin', 'Malphite', 'Ezreal', 'Yuumi'
'Kayle', 'Lee Sin', 'Ezreal', "Kai'Sa", 'Thresh', 'Urgot', 'Shaco', 'LeBlanc', 'Taliyah', 'Pyke'
'Varus', 'Shyvana', 'Soraka', 'Nunu & Willump', 'Jinx', 'Fizz', 'Ezreal', 'Zyra', 'Twisted Fate', 'Fiddlesticks'
'Aatrox', 'Nidalee', 'Pyke', 'Ashe', 'Miss Fortune', 'Mordekaiser', 'Ekko', 'Lucian', 'Miss Fortune', 'Thresh'
'Pantheon', 'Lee Sin', 'Twisted Fate', "Kai'Sa", 'Zac', 'Olaf', 'Nidalee', 'Cassiopeia', 'Lucian', 'Nautilus'
'Irelia', 'Lee Sin', 'Zoe', "Kai'Sa", 'Nautilus', 'Renekton', 'Nidalee', 'Jayce', 'Sivir', 'Pyke'
'Lucian', 'Fiora', 'Ekko', 'Janna', 'Lee Sin', 'Kalista', "Kai'Sa", 'Singed', 'Draven', 'Kennen'
'Ryze', 'Karthus', 'Nocturne', 'Miss Fortune', 'Rakan', 'Garen', 'Nidalee', 'Vladimir', 'Lucian', 'Janna'
'Jayce', 'Lee Sin', 'Swain', 'Ezreal', 'Morgana', 'Teemo', 'Jarvan IV', 'Veigar', 'Vayne', 'Bard'
'Vayne', 'Taliyah', 'Pantheon', 'Ezreal', 'Veigar', 'Illaoi', 'Lee Sin', 'Ryze', "Kai'Sa", 'Blitzcrank'
'Gangplank', 'Taliyah', 'Renekton', 'Ashe', 'Bard', 'Quinn', 'Gragas', 'Talon', 'Vayne', 'Veigar'
'Pantheon', 'Lee Sin', 'Galio', 'Tristana', 'Veigar', 'Akali', "Kha'Zix", 'Cassiopeia', 'Miss Fortune', 'Leona'
'Aatrox', 'Lee Sin', 'Ryze', 'Ezreal', 'Tahm Kench', 'Kayle', 'Jarvan IV', 'Aurelion Sol', 'Ashe', 'Veigar'
'Fiora', 'Karthus', 'Jayce', 'Ashe', 'Veigar', 'Mordekaiser', 'Twitch', 'Viktor', "Kai'Sa", 'Volibear'
'Akali', 'Malphite', 'Twisted Fate', 'Vayne', 'Morgana', 'Riven', 'Jarvan IV', 'Zoe', "Kai'Sa", 'Veigar'
'Zilean', 'Kindred', 'Ekko', 'Ashe', 'Veigar', 'Riven', 'Xin Zhao', 'Jayce', 'Lucian', 'Zyra'
'Maokai', 'Ekko', 'Morgana', 'Ezreal', 'Nautilus', 'Heimerdinger', 'Lee Sin', 'Rumble', 'Miss Fortune', 'Veigar'
'Camille', 'Karthus', 'Jayce', 'Vayne', 'Nautilus', 'Jax', 'Shyvana', 'Ekko', 'Xayah', 'Morgana'
'Shen', 'Udyr', 'Zoe', 'Jhin', 'Blitzcrank', 'Vayne', 'Evelynn', 'Lissandra', 'Jhin', 'Pyke'
'Fiora', 'Lee Sin', 'Veigar', "Kai'Sa", 'Nautilus', 'Camille', "Kha'Zix", 'Lissandra', 'Jinx', 'Alistar'
'Jax', 'Lee Sin', 'Lissandra', "Kai'Sa", 'Nautilus', 'Quinn', "Kha'Zix", 'Yasuo', 'Caitlyn', 'Blitzcrank'
'Aatrox', "Rek'Sai", 'Aurelion Sol', "Kai'Sa", "Vel'Koz", 'Kled', 'Lee Sin', 'Akali', 'Jayce', 'Fiddlesticks'
'Kled', 'Ekko', 'Vladimir', 'Draven', 'Thresh', 'Camille', 'Lee Sin', 'Anivia', 'Jinx', 'Morgana'
'Syndra', 'Gragas', 'Kled', "Kai'Sa", 'Thresh', 'Mordekaiser', 'Elise', 'Pantheon', 'Lucian', 'Pyke'
'Irelia', 'Aatrox', 'Viktor', 'Xayah', 'Tahm Kench', 'Kled', 'Nidalee', 'LeBlanc', 'Lucian', 'Thresh'
'Tristana', 'Gragas', 'Swain', 'Jax', 'Pyke', 'Twisted Fate', 'Rammus', 'Kled', 'Ezreal', 'Morgana'
'Poppy', 'Taliyah', 'Zoe', 'Kalista', 'Blitzcrank', 'Karma', 'Olaf', 'Syndra', "Kai'Sa", 'Leona'
'Kayle', 'Gragas', 'Talon', "Kai'Sa", 'Morgana', 'Fiora', 'Nunu & Willump', 'Kled', 'Lucian', 'Pyke'
'Renekton', 'Graves', 'Annie', 'Xayah', 'Pyke', 'Gnar', 'Nidalee', 'Zed', 'Jinx', 'Thresh'
'Vayne', 'Elise', 'Ahri', 'Miss Fortune', 'Nautilus', 'Renekton', 'Jarvan IV', 'Neeko', "Kai'Sa", 'Thresh'
'Jax', 'Lee Sin', 'Lissandra', 'Caitlyn', 'Thresh', 'Jayce', 'Olaf', 'Kayle', "Kai'Sa", 'Leona'
'Gangplank', 'Jarvan IV', 'Karma', 'Caitlyn', 'Lux', 'Malzahar', 'Evelynn', 'Twisted Fate', 'Lucian', 'Pyke'
'Kled', "Rek'Sai", 'Lissandra', 'Ezreal', 'Fiddlesticks', 'Gangplank', 'Taliyah', 'Rumble', 'Miss Fortune', 'Rakan'
'Ornn', 'Nidalee', 'Yasuo', 'Ezreal', 'Thresh', 'Camille', 'Lee Sin', 'Karthus', 'Jinx', 'Nautilus'
'Yasuo', 'Lee Sin', 'Akali', 'Xayah', 'Rakan', 'Vladimir', 'Nunu & Willump', 'Aatrox', 'Miss Fortune', 'Nautilus'
'Camille', 'Nidalee', 'Renekton', 'Jhin', 'Leona', 'Fiora', 'Gragas', 'Yasuo', 'Lucian', 'Pyke'
'Shen', 'Gragas', 'Yasuo', 'Jinx', 'Thresh', 'Aatrox', 'Ekko', 'LeBlanc', 'Lucian', 'Yuumi'
'Jarvan IV', 'Karthus', 'Pantheon', 'Ashe', 'Rakan', 'Fiora', 'Ekko', 'Nocturne', 'Lucian', 'Soraka'
'Malzahar', 'Lee Sin', 'Pantheon', "Kai'Sa", 'Leona', 'Rengar', "Kha'Zix", 'Kassadin', 'Miss Fortune', 'Gragas'
'Rengar', 'Nidalee', 'Pantheon', 'Ezreal', 'Gragas', 'Volibear', 'Kindred', 'Fizz', 'Ashe', 'Blitzcrank'
'Vladimir', 'Dr. Mundo', 'Yasuo', 'Ezreal', 'Blitzcrank', 'Rengar', 'Elise', 'LeBlanc', "Kai'Sa", 'Alistar'
'Pantheon', 'Gragas', 'Mordekaiser', "Kai'Sa", 'Nautilus', 'Jax', 'Jarvan IV', 'Rumble', 'Heimerdinger', 'Leona'
'Pantheon', 'Gragas', 'Fiora', 'Xayah', 'Zilean', 'Jax', 'Kindred', 'Heimerdinger', 'Renekton', 'Nautilus'
'Vladimir', 'Ekko', 'Zed', "Kai'Sa", 'Leona', 'Yasuo', 'Gragas', 'Jayce', 'Ezreal', 'Nautilus'
'Gangplank', 'Lee Sin', 'Sylas', 'Lucian', 'Pyke', 'Vladimir', 'Ekko', 'Pantheon', "Kai'Sa", 'Thresh'
'Jayce', 'Ekko', 'Lissandra', 'Yasuo', 'Leona', 'Rengar', 'Vi', 'Sylas', "Kai'Sa", 'Nautilus'
'Yasuo', 'Rengar', 'Viktor', 'Xayah', 'Ivern', 'Jax', 'Karthus', 'Lissandra', 'Lucian', 'Karma'
'Yorick', 'Shyvana', 'Zed', "Kai'Sa", 'Galio', 'Garen', 'Nidalee', 'Qiyana', 'Ezreal', 'Yuumi'
'Ryze', 'Hecarim', 'Pyke', 'Ezreal', 'Karma', 'Darius', 'Lee Sin', 'Lissandra', 'Lucian', 'Yuumi'
'Vayne', 'Lee Sin', 'Lissandra', 'Quinn', 'Bard', 'Illaoi', 'Karthus', 'Caitlyn', 'Pantheon', 'Morgana'
'Illaoi', 'Lee Sin', 'Zoe', "Kai'Sa", 'Thresh', 'Fiora', 'Graves', 'Lissandra', 'Lucian', 'Blitzcrank'
'Ekko', 'Kled', 'Zed', "Kai'Sa", 'Shaco', 'Garen', "Kha'Zix", 'Qiyana', 'Ezreal', 'Lux'
'Yasuo', 'Wukong', 'Zed', "Kai'Sa", 'Yuumi', 'Vladimir', 'Rammus', 'Neeko', 'Ezreal', "Vel'Koz"
'Gangplank', 'Lee Sin', 'Lissandra', "Kai'Sa", 'Yuumi', 'Garen', 'Ekko', 'Syndra', 'Kalista', 'Lulu'
'Kled', 'Twitch', 'Fizz', 'Lucian', 'Leona', 'Poppy', 'Qiyana', 'Lissandra', 'Xayah', 'Rakan'
'Akali', 'Lee Sin', 'Malphite', 'Caitlyn', 'Thresh', 'Vladimir', 'Shyvana', 'Lissandra', 'Miss Fortune', 'Leona'
'Teemo', 'Master Yi', 'Ryze', 'Ekko', 'Zac', 'Malphite', 'Evelynn', 'Zoe', 'Vayne', 'Lux'
'Mordekaiser', 'Ekko', 'Irelia', "Kai'Sa", 'Nautilus', 'Akali', 'Jarvan IV', "Vel'Koz", 'Xayah', 'Shen'
'Vladimir', 'Lee Sin', 'Talon', "Kai'Sa", 'Karma', 'Aatrox', 'Ekko', 'Kayle', 'Xayah', 'Zilean'
'Akali', 'Lee Sin', 'Pyke', "Kai'Sa", 'Nautilus', 'Vladimir', 'Poppy', 'Garen', 'Xayah', 'Rakan'
'Master Yi', 'Lee Sin', 'Akali', 'Ezreal', 'Pyke', 'Poppy', 'Gragas', 'Qiyana', "Kai'Sa", 'Nautilus'
'LeBlanc', 'Elise', 'Yasuo', 'Xayah', 'Rakan', 'Darius', 'Lee Sin', 'Ryze', 'Lucian', 'Zilean'
'Quinn', 'Lee Sin', 'Twisted Fate', 'Xayah', "Vel'Koz", 'Poppy', 'Nidalee', 'LeBlanc', 'Jinx', 'Blitzcrank'
'Irelia', 'Karthus', 'Taliyah', 'Lucian', 'Pyke', 'Ornn', 'Rengar', 'Xerath', 'Ashe', 'Thresh'
'Lucian', 'Zed', 'Twisted Fate', 'Ashe', 'Thresh', 'Ryze', 'Hecarim', 'Viktor', 'Garen', 'Yuumi'
'Quinn', 'Shaco', 'Ahri', 'Caitlyn', 'Yuumi', 'Garen', 'Lee Sin', 'Zoe', 'Xayah', 'Bard'
'Nasus', 'Sion', 'Twisted Fate', "Kai'Sa", 'Nautilus', 'Fiora', 'Garen', 'Sylas', 'Tristana', "Kog'Maw"
'Akali', 'Kayn', 'Shyvana', 'Lucian', 'Karma', 'Kennen', 'Lee Sin', 'Zoe', "Kai'Sa", 'Thresh'
'Garen', 'Graves', 'Syndra', 'Jinx', 'Nautilus', 'Alistar', 'Taliyah', 'Pyke', 'Tristana', 'Rakan'
'Pantheon', 'Garen', 'Katarina', 'Lucian', 'Thresh', 'Vladimir', 'Lee Sin', 'Twisted Fate', "Kai'Sa", 'Lulu'
'Lucian', 'Karthus', 'Galio', 'Ashe', 'Volibear', 'Garen', 'Olaf', 'Sylas', "Kai'Sa", 'Thresh'
'Darius', 'Teemo', 'Zed', 'Ezreal', 'Thresh', 'Yasuo', 'Olaf', 'Riven', "Kai'Sa", 'Thresh'
'Gangplank', 'Nunu & Willump', 'Zoe', 'Ezreal', 'Fiddlesticks', 'Yasuo', 'Evelynn', 'Galio', "Kai'Sa", 'Thresh'
'Irelia', 'Nidalee', 'LeBlanc', 'Ezreal', 'Fiddlesticks', 'Neeko', "Rek'Sai", 'Zoe', 'Lucian', 'Thresh'
'Garen', 'Lee Sin', 'Zoe', 'Ezreal', 'Nautilus', 'Camille', 'Shyvana', 'Rumble', 'Ashe', 'Pyke'
'Garen', 'Lee Sin', 'Lissandra', "Kai'Sa", 'Yuumi', 'Ryze', 'Karthus', 'Lucian', 'Ashe', 'Fiddlesticks'
'Gangplank', 'Gragas', 'Yasuo', 'Sivir', 'Karma', 'Gnar', 'Fiddlesticks', 'Aurelion Sol', 'Jhin', 'Nautilus'
'Camille', 'Elise', 'Qiyana', 'Ezreal', 'Blitzcrank', 'Renekton', 'Ekko', 'Zoe', 'Xayah', 'Leona'
'Garen', 'Shyvana', 'Ekko', 'Miss Fortune', 'Soraka', 'Renekton', 'Lee Sin', 'Zoe', "Kai'Sa", 'Nami'
'Jax', 'Gragas', 'Zoe', 'Lucian', 'Alistar', 'Tristana', 'Lee Sin', 'Ekko', 'Xayah', 'Pyke'
'Kayle', 'Gragas', 'Qiyana', "Kai'Sa", 'Nautilus', 'Irelia', 'Lee Sin', 'Taliyah', 'Draven', 'Thresh'
'Quinn', 'Lee Sin', 'Katarina', 'Xayah', 'Morgana', 'Pyke', 'Camille', 'Rengar', "Kai'Sa", 'Blitzcrank'
'Mordekaiser', 'Zac', 'Camille', 'Lucian', 'Morgana', "Cho'Gath", 'Lee Sin', 'Pyke', 'Vayne', 'Fiddlesticks'
'Ekko', "Rek'Sai", 'Akali', 'Caitlyn', 'Morgana', 'Vladimir', 'Kayn', 'Talon', 'Lucian', 'Thresh'
'Mordekaiser', 'Aatrox', 'Yasuo', "Kai'Sa", 'Alistar', 'Sion', 'Ekko', 'Katarina', 'Ashe', 'Blitzcrank'
'Renekton', 'Lee Sin', 'Ryze', 'Caitlyn', 'Janna', 'Ornn', 'Shyvana', 'Lucian', "Kai'Sa", 'Nautilus'
'Syndra', 'Ekko', 'Poppy', 'Vayne', 'Thresh', 'Viktor', 'Olaf', 'Camille', "Kai'Sa", 'Morgana'
'Garen', 'Taliyah', 'Yasuo', "Kai'Sa", 'Leona', 'Camille', 'Ekko', 'Twisted Fate', 'Vayne', 'Nautilus'
'Kayle', 'Kindred', 'Jax', "Kai'Sa", 'Leona', 'Irelia', 'Lee Sin', 'Twisted Fate', 'Draven', 'Nautilus'
'Garen', 'Ekko', 'Qiyana', 'Miss Fortune', 'Bard', 'Vladimir', "Rek'Sai", 'Zoe', 'Lucian', 'Blitzcrank'
'Lucian', 'Nidalee', 'Kennen', "Kai'Sa", 'Rakan', 'Rumble', 'Kindred', 'Akali', 'Jinx', 'Thresh'
'Garen', 'Jax', 'Ekko', 'Caitlyn', 'Morgana', 'Kennen', 'Master Yi', 'Karma', 'Draven', 'Taric'
