hero_win1, hero_win2, hero_win3, hero_win4, hero_win5, hero_lose1, hero_lose2, hero_lose3, hero_lose4, hero_lose5
'Vladimir', 'Ekko', 'Gangplank', 'Xayah', 'Galio', 'Kayle', "Rek'Sai", 'Zoe', 'Miss Fortune', 'Thresh'
'Quinn', 'Ekko', 'Akali', 'Varus', 'Nautilus', 'Irelia', 'Sejuani', 'LeBlanc', 'Caitlyn', 'Tahm Kench'
'Kayle', "Rek'Sai", 'Akali', 'Ezreal', 'Lux', 'Lucian', 'Gragas', 'Irelia', 'Xayah', 'Leona'
'Lucian', 'Nidalee', 'Camille', 'Miss Fortune', 'Taliyah', 'Akali', 'Graves', 'Fizz', 'Draven', 'Thresh'
'Jax', "Kha'Zix", 'Karma', 'Ezreal', 'Tahm Kench', 'Kennen', 'Lee Sin', 'Vladimir', 'Xayah', 'Rakan'
'Kayle', "Rek'Sai", 'Galio', 'Ezreal', 'Tahm Kench', 'Karma', 'Lee Sin', 'Aurelion Sol', 'Lucian', 'Cassiopeia'
'Jayce', 'Lee Sin', 'Akali', 'Caitlyn', 'Thresh', 'Irelia', 'Nidalee', 'Qiyana', 'Miss Fortune', 'Lux'
'Lucian', 'Nidalee', 'LeBlanc', 'Ezreal', 'Tahm Kench', 'Vladimir', 'Elise', 'Gangplank', "Kai'Sa", 'Gragas'
'Vladimir', 'Xin Zhao', 'LeBlanc', 'Jinx', 'Morgana', 'Tristana', 'Shyvana', 'Aatrox', 'Syndra', 'Jarvan IV'
'Jinx', 'Nasus', 'Zac', 'Sivir', 'Annie', 'Heimerdinger', 'Jhin', 'Rakan', 'LeBlanc', 'Thresh'
'Quinn', 'Karthus', 'Tristana', "Kai'Sa", 'Rakan', 'Jax', 'Taliyah', 'Qiyana', 'Xayah', 'Karma'
'Renekton', 'Karthus', 'Qiyana', 'Xayah', 'Nautilus', 'Akali', 'Kindred', 'Ahri', 'Vayne', 'Alistar'
'Pantheon', 'Lee Sin', 'Akali', "Kai'Sa", 'Blitzcrank', 'Twisted Fate', 'Nidalee', 'Aatrox', 'Jinx', 'Thresh'
'Jarvan IV', 'Lee Sin', 'Ahri', 'Jinx', 'Rakan', 'Jax', 'Nunu & Willump', 'Kayle', 'Ashe', 'Tahm Kench'
'Lucian', 'Taliyah', 'Ahri', 'Xayah', 'Rakan', 'Karma', 'Ekko', 'Pantheon', 'Ezreal', 'Thresh'
'Shen', "Rek'Sai", 'Malphite', 'Caitlyn', 'Morgana', 'Lucian', 'Karthus', 'Qiyana', "Kai'Sa", 'Nautilus'
'Vladimir', 'Lee Sin', 'Irelia', "Kai'Sa", 'Nautilus', 'Gangplank', 'Xin Zhao', 'Twisted Fate', 'Ezreal', 'Tahm Kench'
'LeBlanc', 'Ekko', 'Camille', 'Xayah', 'Gragas', 'Jax', 'Dr. Mundo', 'Irelia', 'Caitlyn', 'Thresh'
'Renekton', 'Karthus', 'Jayce', 'Tristana', 'Leona', 'Gangplank', 'Taliyah', 'Twisted Fate', 'Ezreal', 'Nautilus'
'Tristana', 'Taliyah', 'Renekton', "Kai'Sa", 'Thresh', 'Lucian', 'Ekko', 'Jayce', 'Kalista', 'Nautilus'
'Aatrox', "Rek'Sai", 'LeBlanc', "Kai'Sa", 'Nautilus', 'Camille', 'Kindred', 'Akali', 'Lucian', 'Braum'
'Sion', 'Taliyah', 'Twisted Fate', 'Xayah', 'Bard', 'Vayne', 'Lee Sin', 'Zoe', 'Ezreal', 'Rakan'
'Gangplank', 'Gragas', 'Qiyana', 'Ezreal', 'Bard', 'Renekton', 'Lee Sin', 'Galio', 'Lucian', 'Thresh'
'Irelia', 'Lee Sin', 'Syndra', "Kai'Sa", 'Soraka', 'Jayce', 'Nidalee', 'Ekko', 'Kalista', 'Galio'
'Kennen', 'Taliyah', 'Kayle', 'Xayah', 'Thresh', 'Lucian', 'Lee Sin', 'Nautilus', 'Ezreal', 'Gragas'
'Taric', "Rek'Sai", 'Ryze', "Kai'Sa", 'Soraka', 'Karma', 'Lee Sin', 'Twisted Fate', 'Xayah', 'Morgana'
'Volibear', 'Ekko', 'Gangplank', "Kai'Sa", 'Nautilus', 'Renekton', 'Gragas', 'Lucian', 'Morgana', 'Leona'
'Camille', 'Ekko', 'Ryze', "Kai'Sa", 'Alistar', 'Quinn', 'Lee Sin', 'Akali', 'Ezreal', 'Nautilus'
'Renekton', "Rek'Sai", 'Twisted Fate', "Kai'Sa", 'Blitzcrank', 'Jax', 'Nidalee', 'Fizz', 'Jinx', 'Thresh'
'Kled', 'Gragas', 'Ezreal', 'Twisted Fate', 'Thresh', 'Fiora', 'Ekko', 'Tristana', 'Xayah', 'Morgana'
'Jayce', 'Gragas', 'Tristana', 'Syndra', 'Tahm Kench', 'Kennen', 'Ekko', 'Twisted Fate', 'Xayah', 'Thresh'
'Darius', 'Gragas', 'Orianna', 'Caitlyn', 'Lux', 'Gangplank', 'Olaf', 'Karma', "Kai'Sa", 'Volibear'
'Garen', 'Lee Sin', 'Lissandra', 'Yasuo', 'Thresh', 'Irelia', 'Olaf', 'Fizz', 'Taliyah', 'Leona'
'Kayle', 'Lee Sin', 'Zoe', "Kai'Sa", 'Nautilus', 'Quinn', 'Kayn', 'Twisted Fate', 'Lucian', 'Braum'
'Akali', 'Karthus', 'Jayce', 'Ashe', 'Thresh', 'Lucian', 'Lee Sin', 'LeBlanc', 'Ezreal', 'Karma'
'Kayle', 'Olaf', 'Tristana', 'Caitlyn', 'Morgana', 'Irelia', 'Lee Sin', 'Twisted Fate', 'Miss Fortune', 'Fiddlesticks'
'Akali', "Kha'Zix", 'Karma', 'Jinx', 'Thresh', 'Jax', "Rek'Sai", 'Ryze', 'Caitlyn', 'Morgana'
'Quinn', 'Gragas', 'Lucian', 'Xayah', 'Thresh', 'Jax', 'Karthus', 'Pantheon', 'Jinx', 'Blitzcrank'
'Jax', 'Karthus', 'Akali', "Kai'Sa", 'Morgana', 'Yasuo', 'Lee Sin', 'Gragas', 'Cassiopeia', 'Thresh'
'Fiora', 'Ekko', 'Akali', 'Ezreal', 'Rakan', 'Jax', 'Elise', 'Renekton', "Kog'Maw", 'Lulu'
'Jax', 'Elise', 'Kassadin', 'Lucian', 'Leona', 'Quinn', 'Ekko', 'Galio', "Kai'Sa", 'Volibear'
'Quinn', 'Taliyah', 'Ryze', 'Lucian', 'Pyke', 'Jax', 'Olaf', 'Syndra', 'Ezreal', 'Tahm Kench'
'Jax', 'Lee Sin', 'Twisted Fate', 'Xayah', 'Nautilus', 'LeBlanc', 'Sejuani', 'Irelia', "Kai'Sa", 'Gragas'
'Malphite', 'Karthus', 'Yasuo', "Kai'Sa", 'Morgana', 'Kassadin', 'Nidalee', 'Camille', 'Jinx', 'Galio'
'Kennen', 'Taliyah', 'Irelia', "Kai'Sa", 'Gragas', 'Shen', 'Kindred', 'Ryze', 'Lucian', 'Soraka'
'Lucian', 'Lee Sin', 'Galio', 'Ashe', 'Lux', 'Karma', 'Xin Zhao', 'Ryze', 'Caitlyn', 'Morgana'
'Quinn', 'Karthus', 'Gangplank', 'Syndra', 'Thresh', 'Lucian', 'Ekko', 'Vayne', 'Heimerdinger', 'Galio'
'Kayle', 'Xin Zhao', 'Sylas', "Kai'Sa", 'Leona', 'Akali', 'Jax', 'LeBlanc', 'Xayah', 'Rakan'
'Jax', 'Olaf', 'Zoe', 'Xayah', 'Janna', 'Gangplank', "Kha'Zix", 'Sylas', 'Ezreal', 'Morgana'
'Camille', 'Ekko', 'Zoe', "Kai'Sa", 'Thresh', 'Mordekaiser', 'Jarvan IV', 'Fizz', 'Ezreal', 'Rakan'
'Lucian', 'Taliyah', 'Quinn', 'Sivir', 'Soraka', 'Sylas', 'Olaf', 'Kayle', 'Caitlyn', 'Morgana'
'Gragas', 'Xayah', 'Vladimir', 'Skarner', 'Ashe', 'Lucian', 'Twitch', 'Camille', 'Karthus', 'Syndra'
'Darius', 'Ekko', 'Nautilus', 'Ezreal', 'Blitzcrank', 'Irelia', 'Kayn', 'Zed', 'Yasuo', 'Nami'
'Ezreal', 'Ivern', 'Yasuo', 'Lucian', 'Fiddlesticks', 'Lucian', 'Garen', 'Yasuo', "Kai'Sa", 'Xerath'
'Zed', 'Nami', 'Neeko', 'Zac', 'Gangplank', 'Malphite', 'Leona', 'Thresh', 'Twitch', 'Zilean'
'Vladimir', 'Lee Sin', 'Galio', 'Irelia', 'Tahm Kench', 'Akali', 'Olaf', 'Taliyah', 'Ezreal', 'Janna'
'Jayce', 'Lee Sin', 'Taliyah', 'Kalista', 'Galio', 'Qiyana', 'Gragas', 'Irelia', 'Miss Fortune', 'Nautilus'
'Fiora', 'Aatrox', 'Taliyah', 'Miss Fortune', 'Galio', 'Camille', 'Ekko', 'Lulu', 'Kalista', 'Leona'
'Jayce', 'Taliyah', 'Ekko', 'Kalista', 'Thresh', 'Irelia', 'Lee Sin', 'Vladimir', 'Ezreal', 'Bard'
'Camille', 'Elise', 'Akali', 'Varus', 'Zyra', 'Lulu', 'Lee Sin', 'Vladimir', 'Lucian', 'Thresh'
'Gangplank', "Rek'Sai", 'LeBlanc', 'Ezreal', 'Karma', 'Kayle', 'Lee Sin', 'Pantheon', 'Heimerdinger', 'Fiddlesticks'
'Twisted Fate', 'Kindred', 'Aatrox', 'Jinx', 'Tahm Kench', 'Renekton', 'Taliyah', 'Talon', "Kai'Sa", 'Morgana'
'Aatrox', 'Lee Sin', 'Neeko', 'Ashe', 'Rakan', 'Jax', 'Zed', 'Sylas', 'Caitlyn', 'Thresh'
'Draven', 'Lee Sin', 'Irelia', 'Ezreal', 'Tahm Kench', 'Lucian', 'Gragas', 'Zoe', 'Xayah', 'Karma'
'Ahri', 'Twitch', 'Malphite', "Kai'Sa", 'Lux', 'Teemo', 'Gragas', 'Yasuo', 'Jinx', 'Soraka'
'Teemo', 'Taliyah', 'Irelia', 'Ahri', 'Yuumi', 'Gangplank', 'Dr. Mundo', 'Qiyana', 'Vayne', 'Swain'
'Vayne', 'Teemo', 'Zed', 'Pantheon', 'Nautilus', 'Teemo', 'Lee Sin', 'Lissandra', 'Jinx', 'Yuumi'
'Garen', 'Master Yi', 'Irelia', 'Vayne', 'Pyke', 'Ornn', 'Shaco', 'Akali', 'Yasuo', 'Yuumi'
'Mordekaiser', 'Wukong', 'Akali', 'Irelia', 'Yuumi', 'Sylas', 'Garen', 'Aurelion Sol', 'Ezreal', 'Yuumi'
'Talon', 'Qiyana', 'Pantheon', 'Ezreal', 'Leona', 'Garen', 'Rengar', 'Orianna', 'Irelia', 'Yuumi'
'Poppy', 'Nunu & Willump', 'Irelia', 'Ezreal', 'Yuumi', 'Gangplank', 'Warwick', 'Pyke', 'Vayne', 'Soraka'
'Gangplank', 'Lee Sin', 'Akali', 'Lucian', 'Lulu', 'Kayle', 'Kayn', 'Garen', 'Caitlyn', 'Lux'
'Ryze', 'Shyvana', 'Pyke', 'Jinx', 'Alistar', 'Vladimir', "Kha'Zix", 'Akali', 'Heimerdinger', 'Lux'
'Sylas', 'Olaf', 'Galio', 'Xayah', 'Rakan', 'Vladimir', 'Nidalee', 'Renekton', 'Ezreal', 'Lux'
'Renekton', 'Lee Sin', 'Pyke', 'Tristana', 'Karma', 'Irelia', 'Lee Sin', 'Zed', 'Ezreal', 'Yuumi'
'Rumble', 'Lee Sin', 'Akali', 'Twitch', 'Yuumi', 'Heimerdinger', 'Taliyah', 'Malzahar', 'Xayah', 'Soraka'
'Gangplank', 'Lee Sin', 'Taliyah', 'Xayah', 'Alistar', 'Irelia', 'Elise', 'Twisted Fate', 'Kalista', 'Thresh'
'Gangplank', "Rek'Sai", 'Orianna', 'Jinx', 'Soraka', 'Kennen', 'Jarvan IV', 'Talon', 'Syndra', 'Janna'
'Jax', 'Nidalee', 'Qiyana', 'Ezreal', 'Nautilus', 'Jayce', 'Karthus', 'Talon', "Kai'Sa", 'Alistar'
'Jax', 'Qiyana', 'LeBlanc', 'Xayah', 'Rakan', 'Akali', "Rek'Sai", 'Galio', 'Miss Fortune', 'Thresh'
'Aatrox', 'Olaf', "Vel'Koz", 'Vayne', 'Yuumi', 'Malphite', 'Lee Sin', 'LeBlanc', "Kai'Sa", 'Gragas'
'Quinn', 'Nidalee', 'Renekton', 'Xayah', 'Lux', 'Camille', 'Evelynn', 'Qiyana', 'Miss Fortune', 'Rakan'
'Renekton', 'Taliyah', 'Camille', "Kai'Sa", 'Soraka', 'Aatrox', 'Evelynn', 'Qiyana', 'Jhin', 'Morgana'
'Fiora', 'Gragas', 'Galio', 'Lucian', 'Karma', 'Camille', 'Sejuani', 'Twisted Fate', 'Varus', 'Morgana'
'Pantheon', 'Sylas', 'Akali', 'Lucian', 'Rakan', 'Aatrox', 'Sejuani', 'Twisted Fate', 'Ezreal', 'Nautilus'
'Quinn', "Rek'Sai", 'Orianna', "Kai'Sa", 'Alistar', 'Sion', 'Nidalee', 'Twisted Fate', 'Ezreal', 'Nautilus'
'Fiora', 'Sylas', 'Twisted Fate', 'Vayne', 'Braum', 'Jax', 'Pantheon', 'Zed', "Kai'Sa", 'Gragas'
'Yasuo', 'Gragas', 'Sylas', "Kai'Sa", 'Nautilus', 'Vladimir', "Rek'Sai", 'Zoe', 'Xayah', 'Blitzcrank'
'Renekton', 'Ekko', 'Talon', 'Ezreal', 'Karma', 'Rumble', 'Sylas', 'Qiyana', 'Lucian', 'Lux'
'Fiora', 'Lee Sin', 'Karma', 'Xayah', 'Pyke', 'Camille', 'Karthus', 'Pantheon', 'Lucian', 'Nautilus'
'Mordekaiser', 'Gragas', 'Qiyana', 'Ezreal', 'Shen', 'Akali', 'Sylas', 'Irelia', 'Xayah', 'Morgana'
'Yorick', 'Olaf', 'Zoe', "Kai'Sa", 'Gragas', 'Jayce', 'Lee Sin', 'Sylas', 'Xayah', 'Morgana'
'Akali', "Kha'Zix", 'Karma', 'Jinx', 'Thresh', 'Jax', "Rek'Sai", 'Ryze', 'Caitlyn', 'Morgana'
'Pantheon', 'Nidalee', 'Ezreal', 'Jax', 'Tahm Kench', 'Mordekaiser', 'Kindred', 'Twisted Fate', 'Caitlyn', 'Morgana'
'Akali', 'Graves', 'Ryze', "Kai'Sa", 'Alistar', 'Jax', 'Nidalee', 'Ezreal', 'Tristana', 'Thresh'
'Lucian', 'Ekko', 'Galio', 'Ezreal', 'Karma', 'Camille', 'Nidalee', 'Tristana', 'Jinx', 'Tahm Kench'
'Vi', 'Lux', 'Darius', 'Neeko', 'Diana', 'Sivir', 'Pantheon', 'Rengar', 'Ryze', 'Syndra'
'Zed', 'Ziggs', 'Jax', 'Brand', 'Swain', 'Camille', 'Ashe', 'Zac', 'Varus', 'Malphite'
'Renekton', "Rek'Sai", 'Fizz', 'Miss Fortune', 'Bard', 'Camille', 'Qiyana', 'Twisted Fate', 'Ezreal', 'Yuumi'
'Lucian', 'Ekko', 'Talon', "Kai'Sa", 'Volibear', 'Kennen', 'Kindred', 'Karma', 'Jinx', 'Tahm Kench'
'Pyke', 'Karthus', 'Vladimir', 'Ezreal', 'Yuumi', 'Garen', 'Aatrox', 'Katarina', "Kai'Sa", 'Thresh'
'Teemo', 'Lee Sin', 'Karthus', 'Ezreal', 'Pyke', 'Camille', 'Gragas', 'Yasuo', 'Varus', 'Pyke'
'Jayce', 'Olaf', 'LeBlanc', "Kai'Sa", 'Volibear', 'Pantheon', 'Taliyah', 'Galio', 'Yasuo', 'Gragas'
'Kayle', 'Fizz', 'Garen', 'Jinx', 'Tahm Kench', 'Sylas', 'Qiyana', 'Akali', 'Sivir', 'Thresh'
'Neeko', 'Fizz', 'Ashe', 'Ryze', 'Nunu & Willump', 'Trundle', 'LeBlanc', 'Katarina', 'Aatrox', 'Gragas'
'Vladimir', 'Gragas', 'Nocturne', "Kai'Sa", 'Leona', 'Shen', 'Nidalee', 'Akali', 'Xayah', 'Rakan'
'Akali', 'Graves', 'Ryze', "Kai'Sa", 'Alistar', 'Jax', 'Nidalee', 'Ezreal', 'Tristana', 'Thresh'
'Kayle', 'Qiyana', 'Twisted Fate', 'Lucian', 'Volibear', 'Jax', 'Lee Sin', 'LeBlanc', "Kai'Sa", 'Janna'
'Jayce', 'Karthus', 'Lucian', 'Xayah', 'Gragas', 'Darius', 'Camille', 'Galio', 'Jinx', 'Lux'
'Camille', 'Olaf', 'Zoe', 'Xayah', 'Rakan', 'Vladimir', 'Taliyah', 'Yasuo', "Kai'Sa", 'Nautilus'
'Vladimir', 'Olaf', 'Cassiopeia', 'Xayah', 'Janna', 'Ryze', 'Nidalee', 'Pantheon', "Kai'Sa", 'Rakan'
'Singed', "Rek'Sai", 'Irelia', "Kai'Sa", 'Gragas', 'Jayce', 'Taliyah', 'Ahri', 'Kalista', 'Volibear'
'Darius', 'Karthus', 'Renekton', 'Jinx', 'Alistar', 'Jax', 'Ekko', 'Sylas', "Kai'Sa", 'Volibear'
'Lucian', 'Lee Sin', 'Mordekaiser', 'Xayah', 'Soraka', 'Jax', "Kha'Zix", 'Ryze', 'Ezreal', 'Janna'
'Jax', 'Olaf', 'Fizz', 'Xayah', 'Rakan', 'Volibear', 'Sejuani', 'Nocturne', "Kai'Sa", 'Nautilus'
'Jax', 'Lee Sin', 'Fizz', "Kai'Sa", 'Nautilus', 'Renekton', 'Nidalee', 'Mordekaiser', 'Xayah', 'Karma'
'Fiora', 'Elise', 'Taliyah', 'Sivir', 'Rakan', 'Jax', 'Qiyana', 'Galio', 'Xayah', 'Yuumi'
'Irelia', 'Elise', 'Akali', 'Vayne', 'Tahm Kench', 'Karma', "Rek'Sai", 'Ryze', 'Caitlyn', 'Morgana'
'Volibear', 'Taliyah', 'Garen', 'Ezreal', 'Tahm Kench', 'Camille', 'Ekko', 'Qiyana', 'Xayah', 'Pyke'
'Camille', 'Elise', 'Renekton', "Kai'Sa", 'Rakan', 'Illaoi', 'Ekko', 'Swain', 'Garen', 'Pyke'
'Tristana', 'Lee Sin', 'LeBlanc', 'Irelia', 'Pyke', 'Jax', 'Xin Zhao', 'Jayce', 'Heimerdinger', 'Morgana'
'Aatrox', 'Gragas', 'Qiyana', 'Sivir', 'Thresh', 'Akali', 'Xin Zhao', 'Irelia', 'Lucian', 'Nautilus'
'Irelia', "Rek'Sai", 'LeBlanc', "Kai'Sa", 'Nautilus', 'Jax', 'Lee Sin', 'Twisted Fate', 'Xayah', 'Pyke'
'Camille', 'Lee Sin', 'Kayle', 'Miss Fortune', 'Alistar', 'Kennen', 'Olaf', 'Qiyana', "Kai'Sa", 'Yuumi'
'Jax', 'Olaf', 'LeBlanc', 'Varus', 'Morgana', 'Camille', 'Karthus', 'Sylas', 'Tristana', 'Leona'
'Irelia', 'Ekko', 'Kassadin', 'Xayah', 'Xerath', 'Akali', 'Olaf', 'Kayle', 'Jinx', 'Morgana'
'Twisted Fate', 'Kindred', 'Aatrox', 'Jinx', 'Tahm Kench', 'Renekton', 'Taliyah', 'Talon', "Kai'Sa", 'Morgana'
'Gangplank', "Rek'Sai", 'Akali', "Kai'Sa", 'Jarvan IV', 'Renekton', 'Karthus', 'Talon', 'Sivir', 'Morgana'
'Vladimir', 'Ekko', 'Irelia', 'Ashe', 'Soraka', 'Renekton', 'Elise', 'Camille', 'Syndra', 'Morgana'
'Nasus', 'Yasuo', 'Rammus', 'Teemo', 'Kassadin', 'Jax', 'Qiyana', 'Sona', "Vel'Koz", 'Caitlyn'
'Caitlyn', 'Viktor', 'Kassadin', 'Ahri', 'Blitzcrank', 'Rammus', 'Veigar', 'Tryndamere', 'Kled', 'Corki'
'Heimerdinger', 'Ekko', 'Karma', 'Darius', 'Irelia', 'Braum', 'Veigar', 'Rengar', 'Neeko', 'Yasuo'
'Anivia', 'Lucian', 'Blitzcrank', 'Veigar', "Cho'Gath", 'Ryze', 'Sona', 'Jinx', 'Zed', 'Shaco'
'Morgana', 'Xerath', 'Leona', "Vel'Koz", 'Zoe', 'Aatrox', 'Miss Fortune', 'Fiddlesticks', 'Lulu', 'Fizz'
'Karthus', 'Xayah', 'Ahri', 'Hecarim', 'Ryze', 'Corki', 'Malphite', 'Malzahar', 'Yasuo', 'Twitch'
'Sylas', 'Jhin', 'Xayah', 'Gragas', 'Singed', 'Gangplank', 'Sona', 'Lulu', "Vel'Koz", "Kog'Maw"
'Jayce', "Rek'Sai", 'Zoe', 'Lucian', 'Braum', 'Camille', 'Lee Sin', 'Twisted Fate', 'Ezreal', 'Tahm Kench'
'Karthus', 'Zed', 'Illaoi', 'Janna', 'Taliyah', 'Ryze', 'Varus', 'Aatrox', 'Ziggs', 'Sona'
'Jayce', 'Ashe', 'Alistar', 'Rumble', 'Ahri', 'Sejuani', 'Taliyah', 'Jinx', 'Heimerdinger', 'Orianna'
'Lucian', 'Teemo', 'Malphite', 'Nidalee', 'Mordekaiser', 'Singed', 'Sivir', 'Soraka', 'Zyra', 'Hecarim'
'Renekton', 'Karthus', 'Zoe', 'Sivir', 'Nautilus', 'Kayle', 'Nidalee', 'Pantheon', "Kai'Sa", 'Leona'
'Akali', 'Karthus', 'Irelia', 'Ezreal', 'Janna', 'Gangplank', 'Kayn', 'Zoe', "Kai'Sa", 'Rakan'
'Gangplank', 'Ekko', 'Garen', 'Syndra', 'Tahm Kench', 'Kennen', 'Lee Sin', 'Nocturne', "Kai'Sa", 'Volibear'
